"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1313,"Streptococcus pneumoniae",7152,0.333379946860579,7029.4,0.327662839321381
1305,"Streptococcus sanguinis",2397,0.111732624807719,2310.1,0.107680905699539
43675,"Rothia mucilaginosa",2080,0.0969561366708619,2066.9,0.0963457034715199
553174,"Prevotella melaninogenica",2014,0.0938796438726518,1671.4,0.0779078764901743
484,"Neisseria flavescens",1032,0.0481051601174661,1027,0.0478736361637767
39778,"Veillonella dispar",875,0.0407868363399058,805.6,0.03755392655044
760570,"Streptococcus parasanguinis",825,0.0384561599776255,902.8,0.0420839578051966
889204,"Streptococcus infantis",666,0.031044609145574,650.7,0.0303316517314765
735,"Haemophilus parahaemolyticus",611,0.0284808651470657,585.8,0.0273046602838484
1302,"Streptococcus gordonii",562,0.026196802312031,706,0.0329070227904798
1379,"Gemella haemolysans",376,0.0175266862443481,379.1,0.0176708484581382
758,"Rodentibacter pneumotropicus",272,0.012678879410805,252.8,0.011782879064912
249188,"Haemophilus pittmaniae",178,0.00829720784971799,193.1,0.00900252285242737
157691,"Leptotrichia shahii",167,0.00778445905001631,166.7,0.00777196188179192
28131,"Prevotella intermedia",162,0.00755139141378828,214.3,0.00998766750188946
137732,"Granulicatella elegans",151,0.00703864261408661,149.3,0.00696112851981281
242750,"Hallella bergensis",113,0.00526732857875355,137.9,0.00642695754230741
887901,"Porphyromonas catoniae",105,0.0048944203607887,107.4,0.00500548727100004
1303,"Streptococcus oralis",91,0.00424183097935021,97.4,0.00453863627828152
722,"Actinobacillus seminis",91,0.00424183097935021,106.5,0.00496293437885608
1382,"Lancefieldella parvula",58,0.00270358458024519,56.9,0.0026513327893136
90367,"Neisseria elongata",54,0.00251713047126276,55.3,0.00257682582600168
52768,"Schaalia georgiae",53,0.00247051694401715,51.2,0.00238853910248974
726,"Haemophilus haemolyticus",49,0.00228406283503473,62.8,0.00292607666349938
67366,"Streptomyces spiroverticillatus",48,0.00223744930778912,45.3,0.00211085666261535
28133,"Prevotella nigrescens",44,0.00205099519880669,87.9,0.00409542964171858
60133,"Prevotella pallens",39,0.00181792756257866,123.4,0.00575235497309942
39029,"Megasphaera cerevisiae",38,0.00177131403533305,37.7,0.00175746832959676
496,"Neisseria macacae",38,0.00177131403533305,36.8,0.00171769784601952
796942,"Stomatobaculum longum",38,0.00177131403533305,36.5,0.00170181861339045
824,"Campylobacter gracilis",38,0.00177131403533305,40,0.00186543895694255
544580,"Actinomyces oris",30,0.0013984058173682,28.1,0.00131047857366932
28125,"Prevotella bivia",30,0.0013984058173682,26.2,0.00122258716454254
873533,"Hoylesella oralis",29,0.00135179229012259,161.2,0.0075129762092988
28135,"Segatella oris",29,0.00135179229012259,33.1,0.00154435892756888
671218,"Alloprevotella rava",26,0.00121195170838577,23,0.00106981769219922
248551,"Nocardia testacea",25,0.00116533818114017,25.5,0.00119046778705885
860,"Fusobacterium periodonticum",23,0.00107211112664895,22.9,0.00106923504175886
28136,"Segatella oulorum",21,0.00097888407215774,20.3,0.0009457030092111
505,"Kingella oralis",18,0.00083904349042092,17.4,0.000809238433139987
888727,"[Eubacterium] sulci",17,0.000792429963175313,17.7,0.000825072789930694
196588,"Erythrobacter cryptus",16,0.000745816435929707,15.8,0.000735632801315938
762948,"Rothia dentocariosa",16,0.000745816435929707,16.9,0.000785820700292749
135082,"Selenomonas infelix",15,0.0006992029086841,13.2,0.000616604071221276
592026,"Catonella morbi",13,0.000605975854192887,11.9,0.000553689839083085
888746,"Streptococcus peroris",13,0.000605975854192887,12,0.000560896311439525
28129,"Prevotella denticola",13,0.000605975854192887,13.7,0.000639717719857541
796944,"Oribacterium asaccharolyticum",13,0.000605975854192887,14.3,0.000664843043070681
211502,"Conchiformibius kuhniae",13,0.000605975854192887,13.8,0.000642933291515721
546271,"Selenomonas sputigena",12,0.00055936232694728,12.4,0.000575989960241763
13276,"Suttonella indologenes",12,0.00055936232694728,13.1,0.000609895592929772
29534,"Flavobacterium saccharophilum",12,0.00055936232694728,11.3,0.000525435205566343
1123231,"Lacicoccus alkaliphilus",12,0.00055936232694728,12.2,0.000568686256253342
1462527,"Oceanobacillus jeddahense",12,0.00055936232694728,12.3,0.000571501163334792
1019,"Capnocytophaga sputigena",11,0.000512748799701673,10.7,0.000496787393545705
102148,"Solobacterium moorei",11,0.000512748799701673,11,0.000514538151483277
675090,"Actinomyces weissii",11,0.000512748799701673,9.8,0.00045572391934834
53341,"Xenorhabdus japonica",10,0.000466135272456067,9.5,0.000442560173053569
147207,"Collinsella intestinalis",10,0.000466135272456067,9.6,0.000448246918962205
69966,"Macrococcoides caseolyticum",10,0.000466135272456067,6.7,0.000313034494691849
39777,"Veillonella atypica",10,0.000466135272456067,81,0.00377347284556977
37332,"Nocardia seriolae",10,0.000466135272456067,9.2,0.000429848204025439
260714,"Campylobacter insulaenigrae",10,0.000466135272456067,8.2,0.000383861851656521
1236516,"Hoylesella saccharolytica",8,0.000372908217964853,9.6,0.000445318582114043
781,"Rickettsia conorii",8,0.000372908217964853,7.7,0.000358266218720003
1310,"Streptococcus sobrinus",8,0.000372908217964853,8.4,0.000391966004451996
409322,"Treponema pedis",8,0.000372908217964853,7.4,0.000347136997475314
61592,"Corynebacterium durum",7,0.000326294690719247,5.2,0.000242981057678349
113561,"Paractinoplanes deccanensis",7,0.000326294690719247,7.4,0.000345363988391051
889206,"Streptococcus vestibularis",7,0.000326294690719247,6.6,0.000307494163953677
1616788,"Paenibacillus bovis",7,0.000326294690719247,6.7,0.000311544212183912
84135,"Gemella sanguinis",6,0.00027968116347364,9.4,0.000438269142339222
45972,"Staphylococcus pasteuri",6,0.00027968116347364,5.3,0.000247644348168129
47055,"Dethiosulfovibrio peptidovorans",6,0.00027968116347364,6,0.000279354614553258
40480,"Mycoplasma capricolum",6,0.00027968116347364,5.8,0.000271973793477562
818,"Bacteroides thetaiotaomicron",6,0.00027968116347364,4,0.000186564653978358
888828,"Haemophilus parainfluenzae",6,0.00027968116347364,6.2,0.000289940260565697
81468,"Aminobacterium colombiense",6,0.00027968116347364,7.4,0.000347244287449986
51123,"[Eubacterium] saphenum",5,0.000233067636228033,4.3,0.000199641807292897
43768,"Corynebacterium matruchotii",5,0.000233067636228033,4.8,0.000225238929163686
47678,"Bacteroides caccae",5,0.000233067636228033,4.2,0.00019576718536747
837,"Porphyromonas gingivalis",5,0.000233067636228033,5.1,0.000235742065283856
1351,"Enterococcus faecalis",5,0.000233067636228033,4.6,0.000215731958432187
158897,"Pseudarthrobacter scleromae",5,0.000233067636228033,3.8,0.000177527109040957
45634,"Streptococcus cristatus",5,0.000233067636228033,5.8,0.000272377789227027
28049,"Acidothermus cellulolyticus",5,0.000233067636228033,5,0.00023172231077173
68174,"Streptomyces anthocyanicus",5,0.000233067636228033,4.1,0.000192934001824828
67345,"Streptomyces prasinus",5,0.000233067636228033,4.8,0.000223578013270511
1935,"Streptomyces violaceoruber",5,0.000233067636228033,4.4,0.000204854910290837
153491,"Alysiella crassa",5,0.000233067636228033,5.3,0.000246242038484164
169430,"Paraburkholderia hospita",4,0.000186454108982427,3.3,0.000153806154671351
13688,"Novosphingobium capsulatum",4,0.000186454108982427,3.9,0.000182345625965011
40518,"Ruminococcus bromii",4,0.000186454108982427,3.3,0.000155388413658379
181487,"Schaalia cardiffensis",4,0.000186454108982427,7.5,0.00035046444427452
57975,"Burkholderia thailandensis",4,0.000186454108982427,4.6,0.000216186126433332
1476,"Sporosarcina psychrophila",4,0.000186454108982427,4,0.000188348053778052
633147,"Olsenella uli",4,0.000186454108982427,4.9,0.000228179807310888
28124,"Porphyromonas endodontalis",4,0.000186454108982427,4.6,0.000214322590355752
29318,"Winkia neuii",4,0.000186454108982427,3.6,0.000166199431128077
46256,"Weissella hellenica",4,0.000186454108982427,4,0.000184988420063174
58114,"Glycomyces harbinensis",4,0.000186454108982427,3.7,0.000172816879385738
190,"Aquaspirillum serpens",4,0.000186454108982427,3.9,0.000183290342782207
1376,"Aerococcus urinae",4,0.000186454108982427,4,0.000185092231546322
1328,"Streptococcus anginosus",4,0.000186454108982427,3.8,0.000179129453728173
1120926,"Acinetobacter gerneri",4,0.000186454108982427,3.9,0.000183741896809804
310354,"Catellatospora coxensis",4,0.000186454108982427,3.9,0.000182771957283393
266265,"Paraburkholderia xenovorans",4,0.000186454108982427,3.6,0.000167819465022115
715,"Actinobacillus pleuropneumoniae",4,0.000186454108982427,4.1,0.000193442509813087
28447,"Clavibacter michiganensis",3,0.00013984058173682,3,0.000141918580671413
29430,"Acinetobacter haemolyticus",3,0.00013984058173682,3,0.000139520316548137
53419,"Treponema socranskii",3,0.00013984058173682,3.1,0.000143586258280628
649764,"Slackia exigua",3,0.00013984058173682,2.7,0.0001267079091862
1341,"Streptococcus ratti",3,0.00013984058173682,3.1,0.000143147470050054
907,"Megasphaera elsdenii",3,0.00013984058173682,3,0.000140165210396571
47500,"Aneurinibacillus migulanus",3,0.00013984058173682,2.8,0.000130883349748881
1285,"Staphylococcus intermedius",3,0.00013984058173682,3,0.000137840361694994
42422,"Halobacteroides halobius",3,0.00013984058173682,2.4,0.000113873651334622
35519,"Mogibacterium timidum",3,0.00013984058173682,3.9,0.000182827471126058
1655,"Actinomyces naeslundii",3,0.00013984058173682,2.8,0.000132398331158957
1765,"Mycobacterium tuberculosis",3,0.00013984058173682,4.4,0.000204500765647671
286727,"Azospirillum oryzae",3,0.00013984058173682,2.5,0.000118326636744749
1396,"Bacillus cereus",3,0.00013984058173682,3.3,0.000155053137257519
1404,"Priestia megaterium",3,0.00013984058173682,2.2,0.000104153853934152
52774,"Actinomyces slackii",3,0.00013984058173682,2.8,0.000129917979248235
28449,"Neisseria subflava",3,0.00013984058173682,3.4,0.000160680279456096
59893,"Paenibacillus peoriae",3,0.00013984058173682,3.2,0.000147803802398674
169177,"Exiguobacterium undae",3,0.00013984058173682,2.7,0.000124280369451008
1345,"Streptococcus ferus",3,0.00013984058173682,3.1,0.000144847778585681
637390,"Acidithiobacillus thiooxidans",3,0.00013984058173682,3.2,0.000148089261325217
496866,"Thermoanaerobacter pseudethanolicus",3,0.00013984058173682,2.9,0.000132867719500364
67282,"Streptomyces calvus",3,0.00013984058173682,4,0.000185659432470366
28130,"Prevotella disiens",3,0.00013984058173682,4.5,0.000210490902727827
393480,"Fusobacterium polymorphum",3,0.00013984058173682,3.5,0.000163120855211478
1515,"Acetivibrio thermocellus",3,0.00013984058173682,3.5,0.000164248841339496
982,"Saccharicrinis fermentans",3,0.00013984058173682,3.9,0.000182905907361652
215200,"Peptostreptococcus russellii",3,0.00013984058173682,3,0.000138515730562156
209080,"Propionispora hippei",3,0.00013984058173682,1.9,8.91903497092786e-05
1132398,"Humibacter ginsengiterrae",3,0.00013984058173682,3.1,0.000144777324623379
1611836,"Staphylococcus pragensis",3,0.00013984058173682,3.6,0.000167415378988778
82367,"Paracoccus pantotrophus",2,9.32270544912133e-05,2,9.32263667213375e-05
224030,"Staphylococcus succinus",2,9.32270544912133e-05,2,9.25633545626169e-05
44007,"Enterococcus pseudoavium",2,9.32270544912133e-05,1.7,8.06336252519794e-05
47421,"Hydrogenophaga pseudoflava",2,9.32270544912133e-05,2.3,0.000108743679858643
60550,"Burkholderia pyrrocinia",2,9.32270544912133e-05,2,9.12345308363729e-05
1642,"Listeria innocua",2,9.32270544912133e-05,2.8,0.000129663928348634
28188,"Capnocytophaga canimorsus",2,9.32270544912133e-05,1.9,8.77552974643115e-05
272775,"Oceanobacillus oncorhynchi",2,9.32270544912133e-05,2,9.42957978546876e-05
80867,"Paracidovorax avenae",2,9.32270544912133e-05,1.9,9.05935288294433e-05
57320,"Pseudodesulfovibrio profundus",2,9.32270544912133e-05,2,9.26212331031372e-05
