"TaxonomyID","SRR1204622","SRR1204623","SRR1204624","SRR1204625","SRR1204626","SRR1204627","SRR1204628","SRR1204630","SRR1204632","SRR1204633","SRR1204634","SRR1204635","SRR1204636","SRR1204637","SRR1204638","SRR1204639","SRR1204640","SRR1204641","SRR1204642","SRR1204643","SRR1204644","SRR1204645","SRR1204646","SRR1204647","SRR1204648","SRR1204649","SRR1204650","SRR1204651"
28037,1137,114,5247,209,897,2027,119,1917,0,1816,826,496,1229,2131,21,9569,19,37,264,12,30,572,18,9,53,180,39,202
1304,886,19,63,1537,1,12,244,76,0,17,383,5,59,517,0,23,1,38,11,386,61,197,6,18,0,874,44,83
488,295,1,32,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1
547045,93,2,79,0,0,0,0,0,0,1,1,0,0,76,0,0,1,1,0,0,0,0,0,1,1,0,0,0
553174,85,1,17,119,9,13,123,8,0,2,140,0,674,112,0,112,3,280,17,30,0,22,0,825,14,10,7,67
483,74,0,106,1,0,0,0,0,0,5,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,2
29466,71,4,23,122,55,3,73,30,1,2,79,1,141,168,1,7,0,10,0,117,22,163,1,34,0,538,9,131
1303,67,0,75,10,0,7,47,57,1,9,26,0,41,96,0,82,0,0,0,5,0,0,0,0,0,0,0,0
2707003,50,1,340,4,2,4,5,1,0,154,21,0,21,56,0,166,0,0,6,1,0,21,0,2,9,1,0,1
1305,49,0,17,13,4,0,0,0,0,5,22,0,7,86,0,22,0,0,3,7,0,1,0,0,2,19,0,0
760570,47,0,8,126,5,2,51,14,0,1,25,0,15,50,0,18,0,10,4,9,0,32,0,112,7,50,0,21
888828,37,0,3,6,5,1,0,0,0,1,6,0,7,18,0,0,1,10,2,1,1,6,0,3,3,0,0,27
137732,29,0,292,15,1,79,0,0,0,2,3,0,13,32,2,5,0,0,0,0,0,0,0,0,0,0,1,2
257758,28,0,42,1,1,93,1,0,0,1,2,81,5,0,0,286,0,0,9,0,1,0,0,0,0,0,0,0
1328,27,1,9,2,0,0,20,17,0,17,6,0,10,5,0,0,0,0,3,8,0,0,0,0,4,0,0,1
735,26,0,45,0,1,0,1,0,0,149,0,0,1,2,0,198,0,1,5,0,3,208,0,0,2,1,0,0
762948,26,0,1,7,3,0,19,8,0,0,3,0,0,44,0,1,0,0,2,1,0,2,0,0,1,1,19,3
43675,22,0,3,3,0,0,0,0,0,0,8,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1
39777,22,1,0,6,0,0,31,16,0,0,21,0,88,29,0,0,0,5,0,181,1,132,0,10,2,677,0,56
484,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
76860,14,0,10,3,0,0,1,1,0,0,0,0,0,8,0,76,0,0,0,60,0,0,0,0,0,3,0,5
45634,14,0,0,9,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521095,13,0,6,2,1,0,12,1,0,1,6,0,7,24,0,2,0,5,0,10,8,36,0,72,0,27,0,33
1583331,10,0,16,0,0,0,2,0,0,0,0,0,0,2,0,1,21,83,11,1,0,0,0,9,4,33,0,1
90367,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
