"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1304,"Streptococcus salivarius",874,0.338235294117647,873.9,0.338179301398874
39777,"Veillonella atypica",677,0.261996904024768,677.1,0.262044857339537
29466,"Veillonella parvula",538,0.208204334365325,537.6,0.208047618231101
28037,"Streptococcus mitis",180,0.0696594427244582,180,0.0696504100214475
760570,"Streptococcus parasanguinis",50,0.0193498452012384,50,0.0193498452012384
470565,"Prevotella histicola",40,0.0154798761609907,40,0.0154798761609907
1583331,"Porphyromonas pasteri",33,0.0127708978328173,33,0.0127708978328173
521095,"Lancefieldella parvula",27,0.0104489164086687,27,0.0104489164086687
1282664,"Streptococcus oralis",26,0.010061919504644,26,0.0100628357901985
1305,"Streptococcus sanguinis",19,0.00735294117647059,19,0.00735294117647059
393480,"Fusobacterium polymorphum",18,0.00696594427244582,18,0.00696594427244582
1911679,"Veillonella infantium",15,0.00580495356037152,15,0.00580703975551174
553174,"Prevotella melaninogenica",10,0.00386996904024768,10,0.00386996904024768
573,"Klebsiella pneumoniae",9,0.00348297213622291,9,0.00348297213608005
887325,"Lachnoanaerobaculum saburreum",8,0.00309597523219814,8,0.00309597523219814
135082,"Selenomonas infelix",5,0.00193498452012384,5,0.00193498452012384
1338,"Streptococcus intermedius",5,0.00193498452012384,5,0.00193775271792621
33033,"Parvimonas micra",5,0.00193498452012384,5,0.00193498452012384
39778,"Veillonella dispar",4,0.00154798761609907,4.3,0.0016546027408151
102148,"Solobacterium moorei",4,0.00154798761609907,4,0.00154798761609907
1747,"Cutibacterium acnes",4,0.00154798761609907,4,0.00154798761609907
419208,"Veillonella denticariosi",3,0.0011609907120743,3,0.0011610207573882
209882,"Fusobacterium vincentii",3,0.0011609907120743,3,0.0011609907120743
76860,"Streptococcus constellatus",3,0.0011609907120743,3,0.0011609907120743
1624,"Ligilactobacillus salivarius",2,0.000773993808049536,2,0.000773993808049536
28135,"Segatella oris",2,0.000773993808049536,2,0.000773993808049536
204,"Campylobacter showae",2,0.000773993808049536,2,0.000773993808049536
546271,"Selenomonas sputigena",2,0.000773993808049536,2,0.000773993808049536
2382163,"Streptococcus koreensis",2,0.000773993808049536,2,0.000773993808049536
505,"Kingella oralis",1,0.000386996904024768,1,0.000386996904024768
1313,"Streptococcus pneumoniae",1,0.000386996904024768,0.6,0.000236064641397144
1302,"Streptococcus gordonii",1,0.000386996904024768,0.7,0.000270240516442598
888745,"Streptococcus agalactiae",1,0.000386996904024768,1,0.000386996904024768
735,"Haemophilus parahaemolyticus",1,0.000386996904024768,1,0.000386996904024768
423477,"Veillonella rogosae",1,0.000386996904024768,1,0.000386996904024768
46124,"Granulicatella adiacens",1,0.000386996904024768,1,0.000386996904024768
199,"Campylobacter concisus",1,0.000386996904024768,1,0.000386729812601807
1596,"Lactobacillus gasseri",1,0.000386996904024768,1,0.000386996904024768
218538,"Dialister invisus",1,0.000386996904024768,1,0.000386996904024768
762948,"Rothia dentocariosa",1,0.000386996904024768,1,0.000386996904024768
1110546,"Veillonella tobetsuensis",1,0.000386996904024768,1,0.000387027527684957
1349415,"Streptococcus loxodontisalivarius",1,0.000386996904024768,1,0.000386996904024768
2707003,"Streptococcus chosunense",1,0.000386996904024768,1,0.000386997242466712
