"TaxonomyID","superkingdom","phylum","class","order","family","genus","species"
28037,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis"
1304,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius"
488,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria mucosa"
547045,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria sicca"
553174,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella melaninogenica"
483,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria cinerea"
29466,"Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella parvula"
1303,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis"
2707003,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus chosunense"
1305,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sanguinis"
760570,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parasanguinis"
888828,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parainfluenzae"
137732,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Granulicatella elegans"
257758,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pseudopneumoniae"
1328,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus anginosus"
735,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parahaemolyticus"
762948,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Rothia","Rothia dentocariosa"
43675,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Rothia","Rothia mucilaginosa"
39777,"Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella atypica"
