"Species","name","prop","pipeline"
"No Call","Koz121203_A",1,"QIIME2"
"No Call","Koz121203_B",1,"QIIME2"
"No Call","Koz121203_C",1,"QIIME2"
"No Call","Koz121205_A",0.831434550104627,"QIIME2"
"No Call","Koz121205_B",0.853710247349823,"QIIME2"
"No Call","Koz121205_C",0.836512261580381,"QIIME2"
"No Call","Koz121207_A",0.871325301204819,"QIIME2"
"No Call","Koz121207_B",0.889502762430939,"QIIME2"
"No Call","Koz121207_C",0.922480620155039,"QIIME2"
"No Call","Koz130125_A",0.616121586900666,"QIIME2"
"No Call","Koz130125_B",0.620344264727704,"QIIME2"
"No Call","Koz130125_C",0.583175069060773,"QIIME2"
"No Call","Koz130211_A",0.611203459141945,"QIIME2"
"No Call","Koz130211_B",0.599102872901176,"QIIME2"
"No Call","Koz130211_C",0.588617088003491,"QIIME2"
"No Call","Koz130220_A",0.651394986897913,"QIIME2"
"No Call","Koz130220_B",0.64553163372061,"QIIME2"
"No Call","Koz130220_C",0.626590000164129,"QIIME2"
"No Call","Koz130306_A",0.67542771030937,"QIIME2"
"No Call","Koz130306_B",0.658826950689762,"QIIME2"
"No Call","Koz130306_C",0.659082361790147,"QIIME2"
"No Call","Koz130401_A",0.707971282183068,"QIIME2"
"No Call","Koz130401_B",0.716220263563238,"QIIME2"
"No Call","Koz130401_C",0.66866270899653,"QIIME2"
"No Call","Koz130403_A",0.648535446707579,"QIIME2"
"No Call","Koz130403_B",0.633180671520431,"QIIME2"
"No Call","Koz130403_C",0.63036024625173,"QIIME2"
"No Call","Koz130417_A",0.629472984942427,"QIIME2"
"No Call","Koz130417_B",0.602691073464197,"QIIME2"
"No Call","Koz130417_C",0.62037562079,"QIIME2"
"No Call","Koz130422_A",0.601298872056876,"QIIME2"
"No Call","Koz130422_B",0.581439011477817,"QIIME2"
"No Call","Koz130422_C",0.59698115967774,"QIIME2"
"Incorrect Call","Koz121203_A",0,"QIIME2"
"Incorrect Call","Koz121203_B",0,"QIIME2"
"Incorrect Call","Koz121203_C",0,"QIIME2"
