# Constructed from biom file
OTU ID	Koz121203_A	Koz121203_B	Koz121203_C	Koz121205_A	Koz121205_B	Koz121205_C	Koz121207_A	Koz121207_B	Koz121207_C	Koz130125_A	Koz130125_B	Koz130125_C	Koz130211_A	Koz130211_B	Koz130211_C	Koz130220_A	Koz130220_B	Koz130220_C	Koz130306_A	Koz130306_B	Koz130306_C	Koz130401_A	Koz130401_B	Koz130401_C	Koz130403_A	Koz130403_B	Koz130403_C	Koz130417_A	Koz130417_B	Koz130417_C	Koz130422_A	Koz130422_B	Koz130422_C
65d43491988bfe557da4d86a5ba25dae	0.0	21.0	0.0	711.0	212.0	52.0	312.0	116.0	35.0	1977.0	1054.0	1668.0	9582.0	5408.0	6452.0	25259.0	14053.0	20582.0	7683.0	6503.0	12638.0	18318.0	14073.0	22981.0	27057.0	21856.0	41178.0	26079.0	21529.0	43121.0	24646.0	20271.0	42474.0
bdf8a26094624622d68509a87fa75ba7	75.0	25.0	0.0	747.0	279.0	70.0	367.0	137.0	36.0	1383.0	710.0	1242.0	6972.0	3711.0	4480.0	18140.0	9518.0	14693.0	5645.0	4432.0	8915.0	13821.0	10289.0	17975.0	19606.0	14957.0	29991.0	18576.0	15102.0	31343.0	17649.0	14111.0	30780.0
2385fe1c2dd5a3f83237272a6644088b	0.0	0.0	0.0	175.0	52.0	19.0	33.0	13.0	0.0	879.0	485.0	1263.0	4495.0	2461.0	4491.0	11043.0	6150.0	13869.0	3118.0	2637.0	7554.0	8395.0	6744.0	17215.0	11998.0	9842.0	28883.0	10558.0	8831.0	26337.0	10902.0	9124.0	28777.0
ea403646ed22d679fa4586263d8fc32f	25.0	0.0	0.0	268.0	118.0	25.0	130.0	66.0	0.0	823.0	412.0	928.0	4563.0	1996.0	3761.0	14869.0	6743.0	15632.0	7000.0	4917.0	15055.0	10920.0	8237.0	19721.0	12353.0	8610.0	24231.0	7639.0	5467.0	16802.0	10116.0	6910.0	22170.0
4e8d7a4662640b90817f015280cf5713	74.0	27.0	0.0	500.0	145.0	55.0	283.0	89.0	24.0	919.0	451.0	928.0	4420.0	2279.0	3537.0	11517.0	5960.0	10851.0	3476.0	2696.0	6599.0	8613.0	6632.0	13009.0	12586.0	9228.0	22350.0	12299.0	9668.0	23333.0	11567.0	8755.0	22807.0
8224351b2abd16dd4d58c3015ff5e795	0.0	0.0	0.0	315.0	133.0	30.0	120.0	48.0	11.0	966.0	463.0	1085.0	5023.0	2337.0	4182.0	12380.0	5821.0	13044.0	3586.0	2534.0	7473.0	7955.0	5759.0	12071.0	12218.0	8674.0	23544.0	7906.0	5881.0	17580.0	11638.0	8347.0	26001.0
e832be098a5318684958d14305267752	0.0	0.0	0.0	37.0	12.0	0.0	4.0	0.0	0.0	913.0	394.0	1011.0	4549.0	2049.0	3709.0	11409.0	5021.0	11165.0	3077.0	2066.0	6115.0	8148.0	5532.0	13138.0	11622.0	7725.0	22122.0	11765.0	8093.0	23725.0	11106.0	7676.0	23436.0
ff9d93d7b7e46787568f2d241caeaf3b	11.0	10.0	5.0	231.0	69.0	19.0	89.0	32.0	5.0	717.0	409.0	669.0	3599.0	1899.0	2536.0	8941.0	4796.0	7747.0	2736.0	1933.0	4483.0	6189.0	4667.0	7942.0	9395.0	7247.0	14968.0	9248.0	7097.0	15781.0	8561.0	6840.0	16186.0
e7cfd084265c4df4856ca07b1c9b24ee	0.0	0.0	0.0	29.0	10.0	0.0	4.0	0.0	0.0	615.0	337.0	710.0	3022.0	1590.0	2578.0	7574.0	4023.0	7977.0	2232.0	1745.0	4716.0	4568.0	3371.0	7125.0	7118.0	6124.0	13829.0	7693.0	6153.0	15688.0	7182.0	5780.0	15806.0
d46e2205f0c6ecf67b51f83d111c509c	0.0	0.0	0.0	95.0	46.0	17.0	27.0	0.0	0.0	675.0	290.0	636.0	3181.0	1538.0	2509.0	8074.0	3735.0	7415.0	2204.0	1611.0	3973.0	4377.0	3039.0	5902.0	7673.0	5273.0	12665.0	7439.0	5325.0	13956.0	7480.0	5379.0	14771.0
8ae518dbb29595b3f79214be0b589066	8.0	0.0	0.0	231.0	78.0	12.0	101.0	35.0	5.0	579.0	367.0	503.0	2771.0	1754.0	1862.0	7354.0	4359.0	6034.0	2390.0	2166.0	3798.0	5256.0	4411.0	6249.0	7981.0	6961.0	11680.0	7536.0	6748.0	12451.0	7055.0	6509.0	11744.0
9908fffab7ed4f3bec44cda2f5084d49	0.0	0.0	0.0	282.0	93.0	27.0	133.0	44.0	0.0	616.0	363.0	474.0	3000.0	1559.0	1772.0	7733.0	3907.0	5725.0	2363.0	1703.0	3575.0	5239.0	3674.0	6282.0	8075.0	5886.0	11552.0	7672.0	5795.0	11965.0	7579.0	5647.0	11936.0
99deb3c5ecb022ec05609ebd1112a557	0.0	0.0	0.0	158.0	48.0	14.0	59.0	18.0	0.0	503.0	197.0	534.0	2350.0	1064.0	2028.0	6258.0	2824.0	6074.0	1866.0	1275.0	3789.0	4485.0	3031.0	6459.0	6778.0	4404.0	12065.0	3988.0	3136.0	11243.0	6183.0	4056.0	12877.0
df8456a1abbfb4c8a2c450b44378d4cb	0.0	0.0	0.0	94.0	20.0	12.0	32.0	13.0	4.0	690.0	368.0	781.0	2255.0	1645.0	2004.0	4079.0	2069.0	3882.0	1207.0	1468.0	3584.0	927.0	0.0	3336.0	5978.0	4403.0	10616.0	2329.0	1742.0	4873.0	6737.0	5243.0	14514.0
c357e92bb96f4862be2224d948ed14ae	17.0	8.0	3.0	97.0	18.0	0.0	113.0	33.0	3.0	1207.0	826.0	1187.0	4386.0	3279.0	3292.0	3426.0	2324.0	2395.0	1130.0	1190.0	730.0	1228.0	961.0	276.0	5126.0	5563.0	4133.0	1442.0	1746.0	1718.0	4801.0	5839.0	5890.0
e3055f1b3a2ef5ffe239567f02e0e758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626.0	302.0	509.0	2692.0	1329.0	1596.0	3964.0	2000.0	2988.0	1171.0	865.0	1779.0	1200.0	839.0	1719.0	3527.0	2444.0	5197.0	3660.0	2747.0	5639.0	5239.0	3776.0	8039.0
dffc86cefa76e3e3d93e7eea450e6807	0.0	0.0	0.0	128.0	36.0	15.0	63.0	17.0	6.0	269.0	158.0	270.0	1358.0	831.0	981.0	3621.0	2040.0	3153.0	1026.0	864.0	1793.0	2430.0	1856.0	2905.0	3571.0	2894.0	5805.0	3628.0	2970.0	5967.0	3314.0	2710.0	6063.0
0df6c802966e8670279671824da4f10a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	363.0	201.0	483.0	1665.0	854.0	1507.0	3351.0	1788.0	3670.0	814.0	673.0	1925.0	852.0	706.0	1653.0	2805.0	2189.0	6382.0	2809.0	2139.0	5804.0	3527.0	3046.0	7796.0
