"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
223919,"Clostridium diolis",39469,0.105427785346048,19734.5,0.0589562738401982
1520,"Clostridium beijerinckii",39469,0.105427785346048,19734.5,0.0589562738401982
1280,"Staphylococcus aureus",38744,0.103491198546892,38740.3,0.115735613313135
1396,"Bacillus cereus",28146,0.0751823062745412,28144.9,0.0840822526897507
470,"Acinetobacter baumannii",27220,0.0727088174800331,27220,0.0813190289472535
487,"Neisseria meningitidis",23884,0.0637978470497102,23883.3,0.0713507609150046
1299,"Deinococcus radiodurans",23719,0.0633571066057644,23719,0.0708598845042738
1309,"Streptococcus mutans",17635,0.0471058044180891,17629.3,0.0526671044587379
821,"Phocaeicola vulgatus",17047,0.0455351657451185,17047.5,0.0509289758549985
287,"Pseudomonas aeruginosa",16708,0.0446296444693752,16707.8,0.0499140190239509
1640,"Listeria seeligeri",16055,0.042885380773032,16053.2,0.0479585264807382
210,"Helicobacter pylori",15928,0.042546144188904,15928,0.0475844782825613
1660,"Schaalia odontolytica",12600,0.0336565429922269,12600,0.0376421660875312
1351,"Enterococcus faecalis",11250,0.0300504848144883,11158.7,0.0333363833278634
564,"Escherichia fergusonii",10778,0.0287897000293827,10778,0.0321988411147849
1063,"Cereibacter sphaeroides",9796,0.0261666265993536,9796,0.0292652906363618
1596,"Lactobacillus gasseri",7976,0.0213051259449208,7975.5,0.0238265477008976
837,"Porphyromonas gingivalis",7524,0.0200977642439298,7524.9,0.022480323404838
888745,"Streptococcus agalactiae",5310,0.0141838288324385,5311.9,0.015869139787371
1354,"Enterococcus hirae",1055,0.00281806768704757,1149.6,0.00343438720319036
1313,"Streptococcus pneumoniae",1049,0.00280204076181318,1049,0.00313397144693328
1747,"Cutibacterium acnes",627,0.00167481368699415,627,0.00187314589924447
537011,"Segatella copri",394,0.00105243475705852,394,0.00117706456826527
29388,"Staphylococcus capitis",294,0.000785319336485295,279.3,0.000834440085011015
29378,"Staphylococcus arlettae",140,0.000373961588802522,141.1,0.000421675131439973
33025,"Phascolarctobacterium faecium",97,0.000259101957956033,97,0.000289784931781043
33959,"Lactobacillus johnsonii",85,0.000227048107487245,80.9,0.000241758933630348
1642,"Listeria innocua",78,0.000208350028047119,65.7,0.000196361186947075
53412,"Metapseudomonas resinovorans",70,0.000186980794401261,69.7,0.000208337329537339
53346,"Enterococcus mundtii",66,0.000176296177578332,53.9,0.000160944903659345
1281,"Staphylococcus carnosus",50,0.000133557710286615,57.1,0.000170514329113087
64104,"Bacillus pseudomycoides",48,0.00012821540187515,47.9,0.000143068823647467
46126,"Staphylococcus chromogenes",47,0.000125544247669418,53.1,0.000158779625150222
263475,"Viridibacillus arvi",46,0.000122873093463686,45.8,0.000136971939669041
