"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",70863,0.136468154926974,70782,0.136385129435783
1405,"Bacillus mycoides",49682,0.0956777284772293,49714.1,0.0957908611205719
1520,"Clostridium beijerinckii",49272,0.0948881493806619,49272,0.0949389707422561
821,"Phocaeicola vulgatus",33229,0.0639924970727799,33229,0.0640267499213385
487,"Neisseria meningitidis",30270,0.0582940469587724,30270,0.0583252720636897
1299,"Deinococcus radiodurans",29202,0.0562372897023479,29202,0.0562674137645332
470,"Acinetobacter baumannii",28509,0.0549027084488815,28509,0.0549321175215633
1642,"Listeria innocua",27828,0.0535912368275097,27817.8,0.0536002945516346
1309,"Streptococcus mutans",25036,0.0482143957601528,24995.1,0.048161469871303
287,"Pseudomonas aeruginosa",23969,0.0461595643064029,23968.7,0.0461837151896126
1351,"Enterococcus faecalis",22651,0.0436213563813397,22608.8,0.0435633235872349
1660,"Schaalia odontolytica",21212,0.0408501263326555,21212,0.0408720054535964
562,"Escherichia coli",19773,0.0380788962839712,19773,0.0380992033364925
210,"Helicobacter pylori",19751,0.038036528625131,19751,0.0380569031899628
888745,"Streptococcus agalactiae",17046,0.0328272323904603,17080.8,0.032911777346429
1596,"Lactobacillus gasseri",13650,0.0262872065076724,13652.7,0.0263064806995599
1063,"Cereibacter sphaeroides",12889,0.0248216706723362,12889,0.0248349648522992
837,"Porphyromonas gingivalis",12513,0.0240975688667036,12513,0.0241104769685502
1313,"Streptococcus pneumoniae",2611,0.00502827078326246,2611.2,0.0050313648283127
29388,"Staphylococcus capitis",1701,0.00327579034941764,1736.3,0.0033454960213402
537011,"Segatella copri",1604,0.00308898748998583,1604,0.00309064213678211
1747,"Cutibacterium acnes",1471,0.00283285573427004,1471,0.00283437318155018
1354,"Enterococcus hirae",1245,0.00239762432982067,1286.8,0.00247948360181566
29384,"Staphylococcus kloosii",506,0.000974456153324706,507,0.000976828809108228
46126,"Staphylococcus chromogenes",216,0.000415973377703827,209.2,0.00040300775885485
574376,"Bacillus manliponensis",189,0.000363976705490849,186.9,0.000360116500222529
1139996,"Enterococcus saccharolyticus",175,0.000337015468047082,176.2,0.000339425747709326
1284,"Staphylococcus hyicus",106,0.000204135083502804,116.1,0.000223645833870805
33025,"Phascolarctobacterium faecium",93,0.000179099648733592,93,0.000179195585237367
53412,"Metapseudomonas resinovorans",88,0.000169470635360818,88.3,0.00017008286310455
