"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",47558,0.13342236012647,47544.6,0.133396497818565
1396,"Bacillus cereus",35506,0.0996108818421813,35506.1,0.0996197606421882
1520,"Clostridium beijerinckii",34409,0.0965332854533774,34410.1,0.0965447643701242
470,"Acinetobacter baumannii",24461,0.0686245079913704,24461,0.0686304761125203
487,"Neisseria meningitidis",23006,0.064542554713604,23006,0.0645481654433974
1299,"Deinococcus radiodurans",20366,0.0571361240240485,20366,0.0571410935536002
1640,"Listeria seeligeri",18640,0.0522938894141345,18635.9,0.0522869339439346
1309,"Streptococcus mutans",18386,0.0515813010068818,18377.1,0.0515608671860911
287,"Pseudomonas aeruginosa",17952,0.0503637286889776,17951.8,0.0503675639289332
821,"Phocaeicola vulgatus",17913,0.0502543155083364,17913,0.0502586462758136
210,"Helicobacter pylori",15764,0.0442253687083914,15764,0.0442292152989765
1351,"Enterococcus faecalis",13997,0.0392681099854957,13898.6,0.0389953995596459
1660,"Schaalia odontolytica",13617,0.038202032840787,13617,0.0382053503093499
562,"Escherichia coli",12391,0.0347625313160161,12390.9,0.0347652838043518
888745,"Streptococcus agalactiae",9929,0.0278554736047715,9936.1,0.0278776829078195
1596,"Lactobacillus gasseri",9493,0.0266322903545268,9492.5,0.0266332151851817
1063,"Cereibacter sphaeroides",8562,0.0240204013499903,8562,0.0240224856312065
837,"Porphyromonas gingivalis",8105,0.0227383033101695,8105,0.022740249339518
1313,"Streptococcus pneumoniae",1707,0.00478893075267852,1707.1,0.00478961432939518
1354,"Enterococcus hirae",1258,0.00352927644222002,1337.2,0.00375168676470782
1747,"Cutibacterium acnes",792,0.00222192920686666,791.9,0.00222182846136951
29388,"Staphylococcus capitis",692,0.00194138258983804,691.5,0.00194022190719112
537011,"Segatella copri",304,0.000852861715767,304,0.000852935895133776
1643,"Listeria welshimeri",127,0.000356294203626346,116.4,0.00032651422123069
29378,"Staphylococcus arlettae",115,0.000322628609582911,111.6,0.000313074676326976
46126,"Staphylococcus chromogenes",87,0.000244075556814898,87.1,0.000244339955058088
545,"Citrobacter koseri",79,0.000221631827452609,75,0.000210556624505715
53412,"Metapseudomonas resinovorans",69,0.000193577165749747,69.2,0.000194085834815515
1281,"Staphylococcus carnosus",57,0.000159911571706313,60.8,0.000170486585994117
33025,"Phascolarctobacterium faecium",54,0.000151495173195454,54,0.0001515083497935
376807,"Amylolactobacillus amylotrophicus",51,0.000143078774684595,44.7,0.000125421551525016
1352,"Enterococcus faecium",50,0.000140273308514309,72.4,0.000203077589038886
29382,"Staphylococcus cohnii",46,0.000129051443833165,50.8,0.000142431954531057
64104,"Bacillus pseudomycoides",46,0.000129051443833165,45.7,0.000128334652093619
357276,"Phocaeicola dorei",32,8.97749174491579e-05,32,8.98222835622544e-05
53346,"Enterococcus mundtii",30,8.41639851085856e-05,27.2,7.6276343710028e-05
1642,"Listeria innocua",29,8.13585189382994e-05,34,9.52718387003243e-05
263475,"Viridibacillus arvi",28,7.85530527680132e-05,27.7,7.77807242934027e-05
137658,"Pseudomonas indica",25,7.01366542571546e-05,25,7.0192756034614e-05
1641,"Listeria grayi",24,6.73311880868685e-05,29.6,8.29794940132419e-05
44009,"Enterococcus dispar",23,6.45257219165823e-05,24.7,6.93794184894725e-05
564,"Escherichia fergusonii",19,5.33038572354375e-05,20.8,5.83011931960892e-05
1584,"Lactobacillus delbrueckii",18,5.04983910651513e-05,10.3,2.88488760432723e-05
576118,"Lacicoccus qingdaonensis",18,5.04983910651513e-05,22.5,6.32473702733394e-05
580165,"Bacillus cytotoxicus",18,5.04983910651513e-05,18,5.05034241893486e-05
1242999,"Enterococcus olivae",18,5.04983910651513e-05,17.5,4.9055407989096e-05
875093,"Streptococcus pseudoporcinus",17,4.76929248948652e-05,16.5,4.63207588629668e-05
574376,"Bacillus manliponensis",17,4.76929248948652e-05,17.5,4.92400885552952e-05
2005703,"Enterococcus wangshanyuanii",17,4.76929248948652e-05,15.3,4.28133708347794e-05
1139996,"Enterococcus saccharolyticus",16,4.4887458724579e-05,19.4,5.44672051663158e-05
46503,"Parabacteroides merdae",15,4.20819925542928e-05,15,4.20856527204166e-05
204516,"Phocaeicola massiliensis",14,3.92765263840066e-05,14,3.92799425390555e-05
449673,"Bacteroides stercoris",13,3.64710602137204e-05,13,3.64742323576944e-05
1303590,"Bombilactobacillus bombi",13,3.64710602137204e-05,19,5.3395414586079e-05
1423723,"Lactobacillus amylovorus",11,3.0860127873148e-05,8.7,2.43045694368357e-05
586733,"Staphylococcus devriesei",11,3.0860127873148e-05,11.3,3.15880246122712e-05
214473,"Staphylococcus nepalensis",10,2.80546617028619e-05,10.1,2.82737066181713e-05
52773,"Schaalia meyeri",10,2.80546617028619e-05,10,2.80616907804303e-05
1423790,"Lactobacillus pasteurii",10,2.80546617028619e-05,11.5,3.23864376283855e-05
28117,"Alistipes putredinis",10,2.80546617028619e-05,10,2.80571018136111e-05
853,"Faecalibacterium prausnitzii",9,2.52491955325757e-05,9,2.52513916322499e-05
319939,"Metapseudomonas otitidis",9,2.52491955325757e-05,9,2.52533440969803e-05
552,"Erwinia amylovora",9,2.52491955325757e-05,8,2.25184152354663e-05
225345,"Clostridium chromiireducens",9,2.52491955325757e-05,9,2.52559750895802e-05
47678,"Bacteroides caccae",8,2.24437293622895e-05,8,2.24458054503928e-05
1284,"Staphylococcus hyicus",8,2.24437293622895e-05,8.1,2.2767131178839e-05
43263,"Aquipseudomonas alcaligenes",8,2.24437293622895e-05,8,2.24459640037322e-05
487174,"Barnesiella intestinihominis",8,2.24437293622895e-05,8,2.24456814508888e-05
1121115,"Blautia wexlerae",7,1.96382631920033e-05,5,1.40704638580655e-05
693216,"Cronobacter turicensis",7,1.96382631920033e-05,6.6,1.84095616715889e-05
155617,"Enterococcus moraviensis",7,1.96382631920033e-05,9.1,2.55575405058639e-05
40519,"Ruminococcus callidus",6,1.68327970217171e-05,6,1.68342610881666e-05
1638,"Listeria ivanovii",6,1.68327970217171e-05,6.7,1.89233871164056e-05
1462575,"Companilactobacillus furfuricola",6,1.68327970217171e-05,5.3,1.4977408134812e-05
425474,"Staphylococcus pseudolugdunensis",6,1.68327970217171e-05,6,1.68755801831625e-05
33959,"Lactobacillus johnsonii",5,1.40273308514309e-05,9.5,2.6558833877551e-05
820,"Bacteroides uniformis",5,1.40273308514309e-05,5,1.39605000988987e-05
489,"Neisseria polysaccharea",5,1.40273308514309e-05,5,1.40315390643303e-05
40324,"Stenotrophomonas maltophilia",5,1.40273308514309e-05,4.9,1.36482844646053e-05
745368,"Gemmiger formicilis",5,1.40273308514309e-05,5,1.40285509068055e-05
88431,"Dorea longicatena",5,1.40273308514309e-05,5,1.40285509068055e-05
823,"Parabacteroides distasonis",5,1.40273308514309e-05,5,1.40285509068055e-05
622,"Shigella dysenteriae",4,1.12218646811447e-05,4,1.13321571333634e-05
29384,"Staphylococcus kloosii",4,1.12218646811447e-05,3.9,1.10737725273203e-05
1290,"Staphylococcus hominis",4,1.12218646811447e-05,4,1.13278283667046e-05
234908,"Sutterella stercoricanis",4,1.12218646811447e-05,2,5.61142036272221e-06
871665,"Blautia faecis",4,1.12218646811447e-05,4,1.12228407254444e-05
1077285,"Bacteroides faecis",4,1.12218646811447e-05,4,1.12228410400182e-05
28118,"Odoribacter splanchnicus",4,1.12218646811447e-05,4,1.12228407254444e-05
328814,"Alistipes shahii",4,1.12218646811447e-05,4,1.12228407254444e-05
338188,"Bacteroides finegoldii",4,1.12218646811447e-05,3.5,9.83563201285209e-06
1007676,"Companilactobacillus ginsenosidimutans",4,1.12218646811447e-05,4.3,1.19689828559022e-05
1494962,"Listeria floridensis",4,1.12218646811447e-05,4,1.12161990703678e-05
1816689,"Sutterella massiliensis",4,1.12218646811447e-05,2,5.61142036272221e-06
615,"Serratia marcescens",3,8.41639851085856e-06,3.5,9.87843302382397e-06
649756,"Anaerostipes hadrus",3,8.41639851085856e-06,3,8.41713054408332e-06
28116,"Bacteroides ovatus",3,8.41639851085856e-06,3,8.41285399624283e-06
549,"Pantoea agglomerans",3,8.41639851085856e-06,3,8.52860416014577e-06
657309,"Bacteroides xylanisolvens",3,8.41639851085856e-06,3.5,9.8077950576507e-06
441769,"Bacillus coahuilensis",3,8.41639851085856e-06,2.6,7.31218890017109e-06
89014,"Blautia luti",3,8.41639851085856e-06,5,1.39866379555455e-05
1111760,"Streptococcus troglodytae",3,8.41639851085856e-06,3,8.41838117892875e-06
1150298,"Fusicatenibacter saccharivorans",3,8.41639851085856e-06,3,8.41713054408332e-06
2006115,"Acinetobacter piscicola",3,8.41639851085856e-06,2,5.65313095808952e-06
39688,"Mycolicibacterium duvalii",2,5.61093234057237e-06,2,5.50885105343725e-06
1267,"Sarcina ventriculi",2,5.61093234057237e-06,2,5.61142036272221e-06
86663,"Bacillus carboniphilus",2,5.61093234057237e-06,2,5.61142047747955e-06
546,"Citrobacter freundii",2,5.61093234057237e-06,2.6,7.17946054527654e-06
29379,"Staphylococcus auricularis",2,5.61093234057237e-06,2,5.66516137635532e-06
901,"Desulfovibrio piger",2,5.61093234057237e-06,2,5.61142036272221e-06
150055,"Streptococcus lutetiensis",2,5.61093234057237e-06,2.3,6.44832033379865e-06
573,"Klebsiella pneumoniae",2,5.61093234057237e-06,1.7,4.75197432717381e-06
470146,"Coprococcus comes",2,5.61093234057237e-06,2,5.61142036272221e-06
392597,"Piscinibacter aquaticus",2,5.61093234057237e-06,2,5.61142036272221e-06
1386089,"Intrasporangium oryzae",2,5.61093234057237e-06,2,5.56292102863959e-06
706562,"[Lactobacillus] rogosae",2,5.61093234057237e-06,2,5.61142036272221e-06
454154,"Paraprevotella clara",2,5.61093234057237e-06,2,5.61142036272221e-06
111105,"Porphyromonas gulae",2,5.61093234057237e-06,2,5.64310077647614e-06
255519,"Atlantibacter subterranea",2,5.61093234057237e-06,2,5.48722377153983e-06
300825,"Shouchella lehensis",2,5.61093234057237e-06,2,5.61142042098062e-06
445629,"Cereibacter johrii",2,5.61093234057237e-06,2,5.61338491843423e-06
554,"Pectobacterium carotovorum",2,5.61093234057237e-06,2,5.64612273043332e-06
529731,"Listeria marthii",2,5.61093234057237e-06,2.2,6.08531353055667e-06
643214,"Mammaliicoccus stepanovicii",2,5.61093234057237e-06,1.6,4.45358011846494e-06
363832,"Solirubrobacter soli",2,5.61093234057237e-06,2,5.61142036272221e-06
280333,"Bradyrhizobium pachyrhizi",2,5.61093234057237e-06,0.3,9.06032606957318e-07
515619,"Agathobacter rectalis",2,5.61093234057237e-06,2,5.61142036272221e-06
1160095,"Vagococcus entomophilus",2,5.61093234057237e-06,2.1,5.82503882618505e-06
1653776,"Halalkalibacter oceani",2,5.61093234057237e-06,1.5,4.26935826628515e-06
1499973,"Escherichia marmotae",2,5.61093234057237e-06,2.4,6.80725983791571e-06
252231,"Nocardioides aestuarii",1,2.80546617028619e-06,1,2.80571018136111e-06
1017,"Capnocytophaga gingivalis",1,2.80546617028619e-06,1,2.80559392322469e-06
79885,"Alkalihalophilus pseudofirmus",1,2.80546617028619e-06,1,2.8057102006519e-06
33917,"Microbacterium barkeri",1,2.80546617028619e-06,1,2.80571018136111e-06
29430,"Acinetobacter haemolyticus",1,2.80546617028619e-06,1.9,5.21943703498367e-06
47496,"Pedomicrobium australicum",1,2.80546617028619e-06,1,2.80571018136111e-06
548,"Klebsiella aerogenes",1,2.80546617028619e-06,1.2,3.2413415602582e-06
1193181,"Phycicoccus elongatus",1,2.80546617028619e-06,0.5,1.42679501260632e-06
196164,"Corynebacterium efficiens",1,2.80546617028619e-06,1,2.80485980309077e-06
39844,"Mesorhizobium tianshanense",1,2.80546617028619e-06,0.1,2.33809181780092e-07
44008,"Enterococcus cecorum",1,2.80546617028619e-06,1,2.86449749239166e-06
84634,"Kineosporia rhamnosa",1,2.80546617028619e-06,1,2.80571018136111e-06
38304,"Corynebacterium tuberculostearicum",1,2.80546617028619e-06,1,2.80571018136111e-06
57732,"Enterococcus asini",1,2.80546617028619e-06,1,2.82764257983581e-06
33039,"[Ruminococcus] torques",1,2.80546617028619e-06,1,2.80571018136111e-06
54067,"Xylophilus ampelinus",1,2.80546617028619e-06,0.1,3.2082041920969e-07
269420,"Agromyces neolithicus",1,2.80546617028619e-06,0.3,8.99341884626001e-07
70258,"Staphylococcus piscifermentans",1,2.80546617028619e-06,1,2.90136953385224e-06
214856,"Alistipes finegoldii",1,2.80546617028619e-06,1,2.80571018136111e-06
1587,"Lactobacillus helveticus",1,2.80546617028619e-06,1,2.93768999131327e-06
152331,"Lentilactobacillus parabuchneri",1,2.80546617028619e-06,1,2.76498734892071e-06
162292,"Phenylobacterium mobile",1,2.80546617028619e-06,1,2.80571018136111e-06
426757,"Bhargavaea ginsengi",1,2.80546617028619e-06,1.2,3.23937527319821e-06
332949,"Enterococcus silesiacus",1,2.80546617028619e-06,1.1,3.20181119752745e-06
279573,"Agromyces humatus",1,2.80546617028619e-06,0.3,8.99341884626001e-07
1682,"Bifidobacterium longum",1,2.80546617028619e-06,1,2.77192704998549e-06
363630,"Nakamurella flavida",1,2.80546617028619e-06,1,2.80571018136111e-06
411459,"Blautia obeum",1,2.80546617028619e-06,1,2.80571018136111e-06
37734,"Enterococcus casseliflavus",1,2.80546617028619e-06,1,2.90129230063346e-06
241416,"Mesorhizobium temperatum",1,2.80546617028619e-06,0.1,2.33809181780092e-07
386300,"Flavobacterium glaciei",1,2.80546617028619e-06,1,2.80571018126683e-06
68272,"Streptomyces sulfonofaciens",1,2.80546617028619e-06,0.8,2.27107633026879e-06
43617,"Mesorhizobium mediterraneum",1,2.80546617028619e-06,0.1,2.33809181780092e-07
239935,"Akkermansia muciniphila",1,2.80546617028619e-06,1,2.80571018136111e-06
410755,"Mesorhizobium tarimense",1,2.80546617028619e-06,0.1,2.33809181780092e-07
