"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",33013,0.104322957813241,32996.8,0.115716885197204
223919,"Clostridium diolis",31241,0.0987233370200664,15620.7,0.0547803951053092
1520,"Clostridium beijerinckii",31241,0.0987233370200664,15620.7,0.0547803951053092
470,"Acinetobacter baumannii",23504,0.0742739769315848,23504,0.0824265037204306
1396,"Bacillus cereus",22723,0.0718059725075051,22730.1,0.0797126261500094
1299,"Deinococcus radiodurans",18647,0.0589255806604519,18647,0.065393423133708
821,"Phocaeicola vulgatus",17844,0.0563880549849897,17843,0.0625737052601077
487,"Neisseria meningitidis",17788,0.0562110917996524,17786.9,0.0623770581646422
1309,"Streptococcus mutans",14588,0.046098909780376,14583.6,0.0511433559438276
287,"Pseudomonas aeruginosa",13981,0.0441807552535946,13980.9,0.049029748179162
1640,"Listeria seeligeri",13428,0.0424332437983884,13424,0.04707686341242
1660,"Schaalia odontolytica",12641,0.0399462790330226,12641,0.0443308619067098
210,"Helicobacter pylori",12433,0.0392889872017696,12433,0.0436014597156216
562,"Escherichia coli",10794,0.0341096539737715,10793.7,0.0378525721126813
1351,"Enterococcus faecalis",10231,0.0323305419497551,10094.7,0.0354011235289715
1063,"Cereibacter sphaeroides",7662,0.0242123558224048,7662,0.0268699741528835
888745,"Streptococcus agalactiae",6662,0.0210522989413809,6665.6,0.0233758262758914
1596,"Lactobacillus gasseri",6457,0.0204044872807711,6459.5,0.022652866768778
837,"Porphyromonas gingivalis",5789,0.0182935692842471,5789.1,0.020301796971806
1313,"Streptococcus pneumoniae",1178,0.00372254700584611,1177.9,0.00413092611172638
1354,"Enterococcus hirae",1136,0.0035898246168431,1220.8,0.00428129376252325
537011,"Segatella copri",662,0.00209195765523779,662,0.00232157698903388
1747,"Cutibacterium acnes",597,0.00188655395797124,597,0.00209360993400785
29388,"Staphylococcus capitis",475,0.00150102701848633,468.7,0.00164376590946793
29378,"Staphylococcus arlettae",374,0.00118186127350292,373.4,0.00130946349762044
46126,"Staphylococcus chromogenes",94,0.000297045346816243,97.9,0.000343266017040629
1352,"Enterococcus faecium",90,0.000284405119292147,98.1,0.000344049075162524
1139996,"Enterococcus saccharolyticus",75,0.000237004266076789,91.4,0.000320603678565037
53412,"Metapseudomonas resinovorans",59,0.000186443355980408,59.1,0.000207147986127254
574376,"Bacillus manliponensis",59,0.000186443355980408,55.5,0.000194705559151533
33025,"Phascolarctobacterium faecium",55,0.000173803128456312,55,0.000192880263439371
1284,"Staphylococcus hyicus",49,0.000154842787170169,55.3,0.000193809793848567
155617,"Enterococcus moraviensis",42,0.000132722389003002,30.2,0.000105965918574475
580165,"Bacillus cytotoxicus",32,0.000101121820192763,32.6,0.000114226579527688
853,"Faecalibacterium prausnitzii",27,8.53215357876442e-05,27,9.46866747026939e-05
1579,"Lactobacillus acidophilus",27,8.53215357876442e-05,25.9,9.06986930632963e-05
249189,"Enterococcus hermanniensis",25,7.90014220255965e-05,50.9,0.000178574291070681
44009,"Enterococcus dispar",23,7.26813082635487e-05,24.5,8.59098669063252e-05
214473,"Staphylococcus nepalensis",19,6.00410807394533e-05,18.6,6.53934854884237e-05
263475,"Viridibacillus arvi",16,5.05609100963817e-05,16,5.61079950015025e-05
1643,"Listeria welshimeri",16,5.05609100963817e-05,14.3,5.02038844105212e-05
940190,"Melissococcus plutonius",15,4.74008532153579e-05,13.8,4.84660071937527e-05
64104,"Bacillus pseudomycoides",15,4.74008532153579e-05,14.9,5.23428550218566e-05
417368,"Enterococcus thailandicus",15,4.74008532153579e-05,26.7,9.36159177735925e-05
28117,"Alistipes putredinis",15,4.74008532153579e-05,15,5.26037082107374e-05
29385,"Staphylococcus saprophyticus",14,4.4240796334334e-05,14.6,5.11717695018352e-05
449673,"Bacteroides stercoris",13,4.10807394533102e-05,13,4.55898804493058e-05
1281,"Staphylococcus carnosus",13,4.10807394533102e-05,13.5,4.72575138718903e-05
46503,"Parabacteroides merdae",13,4.10807394533102e-05,12.9,4.53925334751541e-05
47678,"Bacteroides caccae",12,3.79206825722863e-05,12,4.20829665685899e-05
52773,"Schaalia meyeri",12,3.79206825722863e-05,12,4.21180992500642e-05
204516,"Phocaeicola massiliensis",12,3.79206825722863e-05,12,4.20598737466643e-05
1121115,"Blautia wexlerae",11,3.47606256912624e-05,11,3.85652169529325e-05
487174,"Barnesiella intestinihominis",11,3.47606256912624e-05,11,3.85760526878741e-05
1111760,"Streptococcus troglodytae",11,3.47606256912624e-05,11,3.85973408428516e-05
1653776,"Halalkalibacter oceani",11,3.47606256912624e-05,11,3.86633236577965e-05
57732,"Enterococcus asini",10,3.16005688102386e-05,10.5,3.69281975005096e-05
28116,"Bacteroides ovatus",10,3.16005688102386e-05,7.9,2.76372066751244e-05
111105,"Porphyromonas gulae",10,3.16005688102386e-05,10.1,3.52792169980098e-05
137658,"Pseudomonas indica",10,3.16005688102386e-05,10,3.50823699137459e-05
2670334,"Lottiidibacillus patelloidae",10,3.16005688102386e-05,9.6,3.36930251017302e-05
319939,"Metapseudomonas otitidis",9,2.84405119292147e-05,9,3.16578189967911e-05
357276,"Phocaeicola dorei",9,2.84405119292147e-05,9.8,3.44516910771939e-05
1303590,"Bombilactobacillus bombi",9,2.84405119292147e-05,7.7,2.69020636588216e-05
1640685,"Enterococcus massiliensis",9,2.84405119292147e-05,10.2,3.59425210785561e-05
1641,"Listeria grayi",8,2.52804550481909e-05,8.8,3.10275564184579e-05
86663,"Bacillus carboniphilus",8,2.52804550481909e-05,7.8,2.74960247751771e-05
