"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",14586,0.12260542839611,14508.7,0.133432758742386
1396,"Bacillus cereus",10347,0.0869736985886843,10385.7,0.0955148808472907
223919,"Clostridium diolis",10205,0.0857800902771357,5102.5,0.0469264207527201
1520,"Clostridium beijerinckii",10205,0.0857800902771357,5102.5,0.0469264207527201
1642,"Listeria innocua",6378,0.0536115057116679,6366.2,0.0585487855906834
1299,"Deinococcus radiodurans",6344,0.0533257121722831,6344,0.0583442161605386
821,"Phocaeicola vulgatus",6239,0.0524431144771239,6238.7,0.057375761287294
1309,"Streptococcus mutans",5688,0.047811578000622,5642.9,0.0518961242920577
487,"Neisseria meningitidis",5390,0.045306681684837,5389,0.049560900159759
287,"Pseudomonas aeruginosa",5329,0.0447939344524112,5329,0.0490094986802273
470,"Acinetobacter baumannii",5225,0.0439197424495869,5225,0.0480530423476633
1660,"Schaalia odontolytica",4975,0.0418183193658746,4975,0.0457537754028201
1351,"Enterococcus faecalis",4900,0.0411878924407609,4908.7,0.0451440870120509
888745,"Streptococcus agalactiae",4644,0.0390360352030395,4694.4,0.0431727963485311
562,"Escherichia coli",3544,0.0297897736347054,3544,0.032593231262335
210,"Helicobacter pylori",3517,0.0295628199416645,3517,0.0323449835554638
1063,"Cereibacter sphaeroides",3103,0.0260828633150369,3103,0.0285375265009225
1596,"Lactobacillus gasseri",3089,0.0259651836223491,3090.9,0.0284258533659433
837,"Porphyromonas gingivalis",2033,0.0170887725167483,2033,0.0186969581795494
1747,"Cutibacterium acnes",763,0.00641354325148991,763,0.00701698400474145
29388,"Staphylococcus capitis",690,0.00579992771104592,701,0.00644734548311727
1313,"Streptococcus pneumoniae",673,0.00565703094135348,673,0.00618984806964673
537011,"Segatella copri",315,0.00264779308547749,315,0.00289697794618059
94138,"Staphylococcus ureilyticus",169,0.00142056200458951,188.4,0.00173247672940148
574376,"Bacillus manliponensis",81,0.000680861079122782,76.5,0.000703111560999537
1352,"Enterococcus faecium",77,0.000647238309783385,57.4,0.000528011389676133
263475,"Viridibacillus arvi",36,0.00030260492405457,40.6,0.000373132775050921
33025,"Phascolarctobacterium faecium",30,0.000252170770045475,30,0.000275902661541009
1354,"Enterococcus hirae",23,0.000193330923701531,33.4,0.000307023740482958
1643,"Listeria welshimeri",18,0.000151302462027285,15.2,0.000139955086891269
1641,"Listeria grayi",14,0.000117679692687888,15.1,0.00013886091416635
29378,"Staphylococcus arlettae",14,0.000117679692687888,15,0.000138285155093198
1284,"Staphylococcus hyicus",13,0.000109274000353039,13,0.000119583681681542
940190,"Melissococcus plutonius",11,9.24626156833408e-05,11.5,0.000105632720107752
580165,"Bacillus cytotoxicus",11,9.24626156833408e-05,10.7,9.84228764264659e-05
853,"Faecalibacterium prausnitzii",8,6.72455386787933e-05,8,7.35740430776023e-05
46503,"Parabacteroides merdae",8,6.72455386787933e-05,7.9,7.30962093309879e-05
40519,"Ruminococcus callidus",7,5.88398463439441e-05,7,6.4377287692902e-05
