"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",4269,0.12973712201793,4204.8,0.127787425077173
1520,"Clostridium beijerinckii",3184,0.0967634098161374,3184,0.0967633783852855
1396,"Bacillus cereus",2947,0.0895608570126121,2952.7,0.0897334166315477
821,"Phocaeicola vulgatus",1953,0.0593526819632275,1953,0.0593526819632275
487,"Neisseria meningitidis",1829,0.055584257711594,1829,0.055584257711594
1299,"Deinococcus radiodurans",1811,0.055037228384744,1811,0.055037228384744
470,"Acinetobacter baumannii",1666,0.0506306032517854,1666,0.0506306032517855
287,"Pseudomonas aeruginosa",1611,0.048959124753077,1611,0.0489591247530771
1309,"Streptococcus mutans",1586,0.0481993617991187,1578,0.0479568754772357
1642,"Listeria innocua",1575,0.047865066099377,1579.8,0.0480099029015062
1660,"Schaalia odontolytica",1573,0.0478042850630603,1573,0.0478042850630603
888745,"Streptococcus agalactiae",1479,0.0449475763561769,1478.1,0.0449198966123317
1351,"Enterococcus faecalis",1401,0.0425771159398268,1404.5,0.0426830416710045
562,"Escherichia coli",1323,0.0402066555234767,1323,0.0402063336810737
210,"Helicobacter pylori",1228,0.0373195562984349,1228,0.0373195562984349
1596,"Lactobacillus gasseri",1022,0.031059109557818,1024,0.031119157012289
1063,"Cereibacter sphaeroides",753,0.022884060173226,753,0.022884060173226
837,"Porphyromonas gingivalis",706,0.0214557058197842,706,0.0214557058197842
1747,"Cutibacterium acnes",415,0.0126120650357089,415,0.0126120650357089
1313,"Streptococcus pneumoniae",201,0.00610849414982525,201,0.00610840446297823
1282,"Staphylococcus epidermidis",138,0.00419389150585018,194.6,0.00591480301300821
537011,"Segatella copri",65,0.00197538368029175,65,0.00197538368029175
94138,"Staphylococcus ureilyticus",36,0.00109405865370005,35.1,0.00106627993262714
574376,"Bacillus manliponensis",30,0.000911715544750038,29.5,0.000895161517986461
1354,"Enterococcus hirae",20,0.000607810363166692,19.5,0.000592459664380966
57732,"Enterococcus asini",7,0.000212733627108342,7.4,0.000223394502002811
580165,"Bacillus cytotoxicus",7,0.000212733627108342,7,0.000212742191520006
29378,"Staphylococcus arlettae",5,0.000151952590791673,6.3,0.000190198530999594
263475,"Viridibacillus arvi",5,0.000151952590791673,5.5,0.000168097190103714
29379,"Staphylococcus auricularis",5,0.000151952590791673,5,0.000151988929696181
413497,"Cronobacter dublinensis",5,0.000151952590791673,4.6,0.000140156049824444
33025,"Phascolarctobacterium faecium",4,0.000121562072633338,4,0.000121562072633338
1641,"Listeria grayi",4,0.000121562072633338,3.7,0.000112775130631423
1640,"Listeria seeligeri",4,0.000121562072633338,4,0.000122206930677884
1296,"Mammaliicoccus sciuri",2,6.07810363166692e-05,2.3,7.08276466319024e-05
1302,"Streptococcus gordonii",2,6.07810363166692e-05,2,6.08718035831248e-05
204516,"Phocaeicola massiliensis",2,6.07810363166692e-05,2,6.07810362963686e-05
1492,"Clostridium butyricum",2,6.07810363166692e-05,2,6.08124671743099e-05
1139996,"Enterococcus saccharolyticus",2,6.07810363166692e-05,2.1,6.45130755949859e-05
940190,"Melissococcus plutonius",2,6.07810363166692e-05,2,6.20936091085423e-05
657309,"Bacteroides xylanisolvens",2,6.07810363166692e-05,2,6.07803918859306e-05
487174,"Barnesiella intestinihominis",2,6.07810363166692e-05,2,6.07810363166692e-05
1639,"Listeria monocytogenes",2,6.07810363166692e-05,2,6.14272383601448e-05
1189613,"Staphylococcus massiliensis",2,6.07810363166692e-05,2,6.07811464001697e-05
1499973,"Escherichia marmotae",2,6.07810363166692e-05,2.2,6.73755606941676e-05
449673,"Bacteroides stercoris",1,3.03905181583346e-05,1,3.03905181583346e-05
29388,"Staphylococcus capitis",1,3.03905181583346e-05,1,3.04238232670494e-05
853,"Faecalibacterium prausnitzii",1,3.03905181583346e-05,1,3.03905181583346e-05
214473,"Staphylococcus nepalensis",1,3.03905181583346e-05,1,3.0396058820078e-05
40519,"Ruminococcus callidus",1,3.03905181583346e-05,1,3.03905181583346e-05
820,"Bacteroides uniformis",1,3.03905181583346e-05,1,3.0390227700271e-05
332950,"Enterococcus termitis",1,3.03905181583346e-05,1,3.12789233765625e-05
46503,"Parabacteroides merdae",1,3.03905181583346e-05,1,3.03905181583346e-05
28117,"Alistipes putredinis",1,3.03905181583346e-05,1,3.03905181583346e-05
554,"Pectobacterium carotovorum",1,3.03905181583346e-05,1,3.04102989273857e-05
1298596,"Mediterraneibacter faecis",1,3.03905181583346e-05,1,3.03905181583346e-05
154621,"Enterococcus phoeniculicola",1,3.03905181583346e-05,1.1,3.20339866071197e-05
624,"Shigella sonnei",1,3.03905181583346e-05,1.2,3.58401720435967e-05
515619,"Agathobacter rectalis",1,3.03905181583346e-05,1,3.03905181583346e-05
2164149,"Tepidibaculum saccharolyticum",1,3.03905181583346e-05,1,3.03905181583346e-05
2358141,"Anaerotignum faecicola",1,3.03905181583346e-05,1,3.03905181583346e-05
