"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",4269,0.12973712201793,4204.8,0.127787425077173,"1","1280","1"
"2",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",3184,0.0967634098161374,3184,0.0967633783852855,"2","1520","1"
"3",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",2947,0.0895608570126121,2952.7,0.0897334166315477,"3","1396","1"
"4",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",1953,0.0593526819632275,1953,0.0593526819632275,"4","821","1"
"5",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",1829,0.055584257711594,1829,0.055584257711594,"5","487","1"
"6",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",1811,0.055037228384744,1811,0.055037228384744,"6","1299","1"
"7",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",1666,0.0506306032517854,1666,0.0506306032517855,"7","470","1"
"8",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",1611,0.048959124753077,1611,0.0489591247530771,"8","287","1"
"9",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",1586,0.0481993617991187,1578,0.0479568754772357,"9","1309","1"
"10",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",1575,0.047865066099377,1579.8,0.0480099029015062,"10","1642","1"
"11",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",1573,0.0478042850630603,1573,0.0478042850630603,"11","1660","1"
"12",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",1479,0.0449475763561769,1478.1,0.0449198966123317,"12","888745","1"
"13",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",1401,0.0425771159398268,1404.5,0.0426830416710045,"13","1351","1"
"14",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",1323,0.0402066555234767,1323,0.0402063336810737,"14","562","1"
"15",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",1228,0.0373195562984349,1228,0.0373195562984349,"15","210","1"
"16",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",1022,0.031059109557818,1024,0.031119157012289,"16","1596","1"
"17",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",753,0.022884060173226,753,0.022884060173226,"17","1063","1"
"18",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",706,0.0214557058197842,706,0.0214557058197842,"18","837","1"
"19",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",415,0.0126120650357089,415,0.0126120650357089,"19","1747","1"
"20",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",201,0.00610849414982525,201,0.00610840446297823,"20","1313","1"
"21",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",138,0.00419389150585018,194.6,0.00591480301300821,"21","1282","1"
"22",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",65,0.00197538368029175,65,0.00197538368029175,"22","537011","1"
"23",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus ureilyticus",36,0.00109405865370005,35.1,0.00106627993262714,"23","94138","1"
"24",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus manliponensis",30,0.000911715544750038,29.5,0.000895161517986461,"24","574376","1"
"25",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",20,0.000607810363166692,19.5,0.000592459664380966,"25","1354","1"
