"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",59943,0.137789863734162,59559.4,0.136968944746524
1520,"Clostridium beijerinckii",43148,0.0991835083396164,43148,0.0992275245584005
1396,"Bacillus cereus",42484,0.0976571838393498,42552.1,0.0978570342670631
1642,"Listeria innocua",27225,0.0625816031924088,27278.9,0.06273330634652
821,"Phocaeicola vulgatus",27202,0.0625287335184538,27202,0.0625564681367853
1299,"Deinococcus radiodurans",23852,0.0548281505728314,23852,0.0548524856326134
1309,"Streptococcus mutans",23229,0.0533960720130933,23083.6,0.0530853656403781
487,"Neisseria meningitidis",22073,0.0507387962264845,22073,0.0507613158958415
1351,"Enterococcus faecalis",20942,0.0481389874767833,20858.9,0.0479692836635869
287,"Pseudomonas aeruginosa",19167,0.0440588278563416,19167,0.0440783648918933
1660,"Schaalia odontolytica",17934,0.0412245535960573,17934,0.041242849702966
470,"Acinetobacter baumannii",16888,0.0388201327718421,16888,0.0388373624794498
888745,"Streptococcus agalactiae",16445,0.0378018168778389,16602.3,0.0381803746829604
1596,"Lactobacillus gasseri",14073,0.032349344416043,14093.4,0.0324106231036465
1063,"Cereibacter sphaeroides",13493,0.0310161091597859,13493,0.0310298752903334
562,"Escherichia coli",13165,0.0302621416355578,13165,0.0302755011899677
210,"Helicobacter pylori",10798,0.0248211625811435,10798,0.0248321792663492
837,"Porphyromonas gingivalis",9039,0.0207777818643226,9039,0.0207870038088941
1747,"Cutibacterium acnes",4138,0.00951194394895088,4138,0.0095161657533018
1313,"Streptococcus pneumoniae",2442,0.00561338016513728,2443.5,0.00561932939598752
537011,"Segatella copri",2150,0.00494216517405616,2150,0.00494435871667445
1282,"Staphylococcus epidermidis",852,0.00195847661781202,1148.8,0.00264179386149747
1354,"Enterococcus hirae",784,0.00180216627742327,780.4,0.00179467891751512
29385,"Staphylococcus saprophyticus",697,0.00160218098898472,666,0.00153170625341927
574376,"Bacillus manliponensis",268,0.000616046635649791,255.5,0.00058751620290776
33025,"Phascolarctobacterium faecium",144,0.000331010132587948,144,0.000331157048930754
263475,"Viridibacillus arvi",132,0.000303425954872285,144.1,0.000331408575673379
1139996,"Enterococcus saccharolyticus",124,0.000285036503061844,128.6,0.000295732321716156
29378,"Staphylococcus arlettae",115,0.000264348369775097,146.9,0.00033778738036001
46126,"Staphylococcus chromogenes",85,0.000195387925485941,71.7,0.000164861946214512
1640,"Listeria seeligeri",79,0.00018159583662811,54.6,0.000125606451810134
1284,"Staphylococcus hyicus",63,0.000144816933007227,66.5,0.000152975983645669
