"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",89068,0.125743117996761,88879.8,0.125515924813136,"1","1280","1"
"2",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",68307,0.0964334571451563,68306.5,0.0964623683364925,"2","1520","1"
"3",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",60515,0.0854329813802265,60562.7,0.0855265503677792,"3","1396","1"
"4",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",48948,0.0691030913426312,48948,0.069124267775336,"4","1299","1"
"5",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",45763,0.0646066186384088,45763,0.0646264170428289,"5","487","1"
"6",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",43768,0.0617901467247749,43768,0.0618090762817962,"6","821","1"
"7",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",38527,0.0543910844193338,38527,0.0544077522786568,"7","470","1"
"8",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",35024,0.0494456703273743,34875.7,0.0492514131211483,"8","1309","1"
"9",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",33329,0.0470527280248132,33376.6,0.0471344342437163,"9","1640","1"
"10",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",31809,0.0449068446620445,31808.9,0.0449205025613092,"10","1660","1"
"11",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",31513,0.0444889621124528,31513.5,0.0445032476864948,"11","210","1"
"12",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",31448,0.044397197363387,31447.9,0.0444107012818478,"12","287","1"
"13",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",29257,0.0413040194371856,29198,0.0412333738543703,"13","1351","1"
"14",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",26252,0.0370616644996068,26252,0.0370729768037507,"14","562","1"
"15",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",25076,0.0354014284242016,25220.4,0.035616252652708,"15","888745","1"
"16",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",20713,0.0292418961138335,20723.9,0.0292662356249362,"16","1596","1"
"17",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",17900,0.0252706001273412,17900,0.025278344219953,"17","1063","1"
"18",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",14376,0.0202955389626066,14376,0.0203017582147563,"18","837","1"
"19",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",4662,0.00658165015607066,4662.1,0.00658376973549016,"19","1747","1"
"20",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",3729,0.00526447306563438,3731.2,0.00526912623550146,"20","1313","1"
"21",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",2122,0.00299576611565464,2122,0.00299668415909257,"21","537011","1"
"22",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus arlettae",1253,0.00176894200891389,1255,0.00177237584026997,"22","29378","1"
"23",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",1123,0.00158541251078236,1110.2,0.00156779855040216,"23","1354","1"
"24",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus manliponensis",482,0.000680470908456898,477.5,0.000674342046603923,"24","574376","1"
"25",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",335,0.000472941399031247,456.2,0.000644175480053713,"25","1282","1"
"26",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",190,0.00026823542034608,200.1,0.000282617672701568,"26","1139996","1"
"27",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus agnetis",187,0.000264000124235353,174,0.000245719222046576,"27","985762","1"
"28",NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium",140,0.000197647151833954,140,0.000197707720204034,"28","33025","1"
"29",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus thailandicus",117,0.000165176548318376,122.8,0.000173409690282524,"29","417368","1"
"30",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arvi",116,0.000163764782948133,118.1,0.000166737157485883,"30","263475","1"
"31",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",103,0.00014541183313498,113.7,0.000160579790249754,"31","46126","1"
"32",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria grayi",92,0.000129882414062312,81.9,0.000115619989258139,"32","1641","1"
"33",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cytotoxicus",88,0.000124235352581342,86.4,0.000122015312539167,"33","580165","1"
"34",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Metapseudomonas","Metapseudomonas resinovorans",68,9.60000451764918e-05,68.1,9.61192304573659e-05,"34","53412","1"
"35",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae",61,8.61176875847942e-05,61,8.61440780889005e-05,"35","46503","1"
"36",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus",53,7.48235646228539e-05,54.9,7.74998496604751e-05,"36","1281","1"
"37",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola massiliensis",53,7.48235646228539e-05,53,7.48464940772414e-05,"37","204516","1"
"38",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecimuris",50,7.05882685121264e-05,48.6,6.86063870438812e-05,"38","1796613","1"
"39",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",47,6.63529724013988e-05,54.9,7.75953532115149e-05,"39","1643","1"
"40",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis",47,6.63529724013988e-05,47,6.63733060684971e-05,"40","28117","1"
"41",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","Melissococcus plutonius",44,6.21176762906712e-05,43.6,6.15314022069618e-05,"41","940190","1"
"42",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter dublinensis",42,5.92941455501861e-05,39.6,5.59155021425525e-05,"42","413497","1"
"43",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dysgalactiae",38,5.3647084069216e-05,37.9,5.34874296001771e-05,"43","1334","1"
"44",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis",38,5.3647084069216e-05,38,5.36635240553806e-05,"44","487174","1"
"45",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",35,4.94117879584885e-05,33,4.66527044009045e-05,"45","1352","1"
"46",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes",34,4.80000225882459e-05,34,4.80772521706916e-05,"46","1639","1"
"47",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae",32,4.51764918477609e-05,32.3,4.56078185537994e-05,"47","47678","1"
"48",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus",31,4.37647264775183e-05,30.5,4.30813929087138e-05,"48","29385","1"
"49",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii",30,4.23529611072758e-05,30,4.23659400437215e-05,"49","853","1"
"50",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",25,3.52941342560632e-05,25,3.53049500364346e-05,"50","823","1"
"51",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus",24,3.38823688858207e-05,24,3.38927520349772e-05,"52","40519","1"
"52",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris",24,3.38823688858207e-05,24,3.38927520349772e-05,"51","449673","1"
"53",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas indica",24,3.38823688858207e-05,24,3.39019983808728e-05,"53","137658","1"
"54",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus sciuri",22,3.10588381453356e-05,23,3.24492830198259e-05,"55","1296","1"
"55",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus asini",22,3.10588381453356e-05,19.8,2.79108233495087e-05,"56","57732","1"
"56",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar",22,3.10588381453356e-05,23.3,3.28829836996954e-05,"54","44009","1"
"57",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus phoeniculicola",22,3.10588381453356e-05,22.9,3.23452539640302e-05,"57","154621","1"
"58",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei",21,2.96470727750931e-05,21,2.9662004002571e-05,"58","357276","1"
"59",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Lottiidibacillus","Lottiidibacillus patelloidae",20,2.82353074048505e-05,17.3,2.44992305826273e-05,"60","2670334","1"
"60",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae",20,2.82353074048505e-05,20.2,2.85153213868874e-05,"59","622","1"
"61",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus devriesei",18,2.54117766643655e-05,19.2,2.71345102833634e-05,"62","586733","1"
"62",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii",18,2.54117766643655e-05,17,2.40579528626627e-05,"61","33959","1"
"63",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis",17,2.4000011294123e-05,16.9,2.38743787959627e-05,"63","515619","1"
"64",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria ivanovii",15,2.11764805536379e-05,14.3,2.01758107696883e-05,"64","1638","1"
"65",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus moraviensis",15,2.11764805536379e-05,20.2,2.85358596408948e-05,"66","155617","1"
"66",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii",15,2.11764805536379e-05,14.2,2.00852618234172e-05,"65","214856","1"
"67",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria floridensis",14,1.97647151833954e-05,13.5,1.91271394668664e-05,"67","1494962","1"
"68",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus massiliensis",13,1.83529498131529e-05,16,2.26651238192377e-05,"68","1640685","1"
