"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1520,"Clostridium beijerinckii",26061,0.088173796538144,26010.4,0.0880177633453847
1280,"Staphylococcus aureus",24939,0.0843776643975586,23605.9,0.07988117534638
470,"Acinetobacter baumannii",20554,0.0695416221190673,20554,0.0695536236355037
1396,"Bacillus cereus",18909,0.0639759916633961,18068.3,0.0611421623814173
487,"Neisseria meningitidis",17113,0.057899473548876,17113,0.0579094657068172
821,"Phocaeicola vulgatus",17048,0.0576795550202325,17047.9,0.0576892057528185
1299,"Deinococcus radiodurans",16273,0.0550574494864057,16273,0.0550669513693137
1309,"Streptococcus mutans",14781,0.0500094734135416,14770.5,0.0499827046442941
287,"Pseudomonas aeruginosa",14446,0.0488760471505325,14445.5,0.0488829477899744
1640,"Listeria seeligeri",13208,0.0446874450203678,12993,0.0439674762974916
1660,"Schaalia odontolytica",12758,0.0431649321297587,12758,0.0431723043874827
210,"Helicobacter pylori",12153,0.0411179981323842,12153,0.0411250943274915
888745,"Streptococcus agalactiae",9649,0.0326460597366391,9651,0.0326585244486889
562,"Escherichia coli",8996,0.0304367243642663,8788.8,0.0297408025921437
1063,"Cereibacter sphaeroides",7110,0.0240557036716244,7110,0.0240598505409491
1596,"Lactobacillus gasseri",6871,0.023247080158612,6870.2,0.0232482789834584
837,"Porphyromonas gingivalis",6369,0.021548632445088,6369,0.0215523510731575
1405,"Bacillus mycoides",6232,0.021085111853947,6871.8,0.0232537045409238
1351,"Enterococcus faecalis",6185,0.0209260938409279,5975.7,0.0202215738074056
1282,"Staphylococcus epidermidis",5977,0.0202223545492685,5457.3,0.0184671083321335
29388,"Staphylococcus capitis",5427,0.0183615054607462,7118.2,0.0240875492208975
1354,"Enterococcus hirae",3388,0.0114628303852973,3390.2,0.0114723508093962
564,"Escherichia fergusonii",2185,0.00739264592440216,2390,0.0080875853667429
1643,"Listeria welshimeri",1632,0.00552164674994248,1839.4,0.00622454666786431
1428,"Bacillus thuringiensis",1561,0.00528142804942415,1481.1,0.00501211307335042
36745,"Clostridium saccharoperbutylacetonicum",1484,0.00502090917703103,1532,0.00518436749604513
1313,"Streptococcus pneumoniae",1470,0.00497354210932319,1470.1,0.00497462127944493
29380,"Staphylococcus caprae",1383,0.00467918961713876,1009.2,0.00341497436279345
1139996,"Enterococcus saccharolyticus",1305,0.00441528738276651,1162.7,0.00393467894645703
44009,"Enterococcus dispar",876,0.00296382509371913,875.8,0.00296380168499591
