"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",16422,0.0874412958052458,15614.1,0.0831538972650084,"1","1280","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",16327,0.0869354546713098,16290.6,0.0867561674291268,"2","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",12534,0.0667390818184723,11983.7,0.0638198687274697,"3","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",11145,0.0593431519759752,11145,0.059353265013666,"4","470","1","11","0.666666666666667","1","0.333333333333333","0","Acinetobacter","baumannii"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",11084,0.0590183487215531,11084,0.0590284064886512,"5","1299","1","1","1","1","0","0","Deinococcus","radiodurans"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",10610,0.0564944676953878,10610,0.0565043255121755,"6","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",9992,0.0532038380030457,9804.4,0.0522139263877973,"7","1640","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",9921,0.0528257883134724,9921,0.0528347900286776,"8","487","1","1","1","1","0","0","Neisseria","meningitidis"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",9546,0.0508290469953037,9545.6,0.0508356434818671,"9","287","1","1","1","1","0","0","Pseudomonas","aeruginosa"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",9465,0.0503977508705792,9456.9,0.0503632701744458,"10","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",8058,0.0429059774448101,8058,0.0429132236623637,"11","1660","1","1","1","1","0","0","Schaalia","odontolytica"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",6734,0.0358561494307956,6734,0.0358622599507919,"12","210","1","1","1","1","0","0","Helicobacter","pylori"
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",5457,0.0290565796619916,5456.6,0.0290594272199703,"13","1063","1","2","1","1","1","0","Cereibacter","johrii"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",5232,0.0278585348710904,5234,0.0278740413134156,"14","888745","1","9","1","1","0.666666666666667","0","Streptococcus","agalactiae"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",5155,0.0274485373204264,5055.3,0.0269222281496857,"15","562","1","7","1","1","1","1","Escherichia","boydii"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",4258,0.0226723320873667,3488.7,0.0185792987103566,"16","1282","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",4201,0.0223688274070051,4098.8,0.0218284610142477,"17","1351","1","14","0.2","1","1","0.2","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides",4163,0.0221664909534307,4569.8,0.0243368640941488,"18","1405","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",3895,0.0207394864913794,3896,0.0207483277920966,"19","1596","1","4","1","1","1","0","Lactobacillus","gasseri"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",3684,0.0196159867096898,3684.3,0.0196211276865836,"20","837","1","1","1","1","0","0","Porphyromonas","gingivalis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus capitis",3526,0.0187746930343014,5001.5,0.0266356913868851,"21","29388","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",2016,0.0107344813264752,1975.8,0.0105220276534928,"22","1354","1","11","1","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",1336,0.00711372373619586,1518.5,0.0080868252771077,"23","1643","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii",1181,0.00628840399135278,1279.9,0.00681636622059473,"24","564","1","7","1","1","1","1","Escherichia","boydii"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thuringiensis",1047,0.00557490176032715,981.6,0.00522740497854845,"25","1428","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharoperbutylacetonicum",953,0.00507438526990618,987.7,0.00526003383553157,"26","36745","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus caprae",917,0.00488269810336198,699.6,0.00372576297226939,"27","29380","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",870,0.0046324398581515,870.4,0.00463544407091738,"28","1313","1","2","1","1","1","0","Streptococcus","pneumoniae"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",835,0.00444607733512241,778.3,0.00414465747499542,"29","1139996","1","12","0.714285714285714","1","1","0","Enterococcus","gallinarum"
NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",763,0.00406270300203401,763,0.00406339535824981,"30","1747","1","1","1","1","0","0","Cutibacterium","acnes"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus",666,0.0035462125810677,593.7,0.00316177709108872,"31","1281","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",607,0.00323205861367581,607,0.00323260941344382,"32","537011","1","1","1","1","0","0","Segatella","copri"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",535,0.00284868428058741,545.5,0.00290502678461058,"33","1352","1","11","1","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus anthracis",465,0.00247595923452925,671.3,0.00357483197347712,"34","1392","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pasteuri",432,0.0023002459985304,484.7,0.00258106916924833,"35","45972","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar",343,0.00182635272568502,508.3,0.00270699459474717,"36","44009","1","11","1","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saccharolyticus",286,0.00152284804532337,477.3,0.00254196657414857,"37","33028","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus",174,0.000926487971630299,158.5,0.000843945655347108,"38","1579","1","7","1","1","1","0","Lactobacillus","acidophilus"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus petrasii",165,0.000878566179994249,250.1,0.0013317933054561,"39","1276936","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus",162,0.000862592249448899,165.6,0.000881780453983887,"40","29385","1","8","0","1","1","0","Staphylococcus","arlettae"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus durans",125,0.000665580439389583,108.5,0.00057779940005643,"41","53345","1","11","0","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus piscifermentans",123,0.00065493115235935,134,0.000713544557593442,"42","70258","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pseudomycoides",118,0.000628307934783766,102.7,0.000547026200137895,"43","64104","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Metapseudomonas","Metapseudomonas resinovorans",116,0.000617658647753533,111.7,0.000595050473343494,"44","53412","1","2","0","0","1","1","Pseudomonas","aeruginosa"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus mundtii",99,0.00052713970799655,98.1,0.000522454002823916,"45","53346","1","9","1","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium",84,0.0004472700552698,93.9,0.000499966106262957,"46","33945","1","11","0","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equinus",82,0.000436620768239566,64.6,0.000343911859259554,"47","1335","1","9","1","1","1","0","Streptococcus","agalactiae"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",75,0.00039934826363375,77.1,0.000410823438009713,"48","1642","1","6","0.75","1","1","0","Listeria","innocua"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",71,0.000378049689573283,72.1,0.000384082378020694,"49","46126","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus",69,0.00036740040254305,66.2,0.000352607550476122,"50","47770","1","7","1","1","1","0","Lactobacillus","acidophilus"
