"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",24726,0.0877972914432616,24668.5,0.0876030288884117,"1","1520","1"
"2",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",23203,0.0823894100686726,21898.2,0.0777650807116477,"2","1280","1"
"3",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",18476,0.0656047381988879,18476,0.0656121931778247,"3","470","1"
"4",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",18012,0.0639571630460256,17264.4,0.0613096576736673,"4","1396","1"
"5",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",16894,0.059987359121672,16894,0.0599941753663827,"5","487","1"
"6",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",16075,0.0570792469445293,16074.6,0.0570841510897972,"6","821","1"
"7",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",15722,0.055825811537287,15722,0.0558321555146772,"7","1299","1"
"8",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",14343,0.0509292465894484,14327.6,0.0508803456750864,"8","1309","1"
"9",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",13708,0.04867448317982,13707.6,0.0486785997534467,"9","287","1"
"10",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",12622,0.0448183051280777,12383.7,0.0439772256326337,"10","1640","1"
"11",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",12204,0.0433340671670939,12203.9,0.0433387051444883,"11","1660","1"
"12",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",11424,0.0405644365221961,11424,0.0405690462154734,"12","210","1"
"13",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",8864,0.0314743667133006,8868.6,0.0314942698402744,"13","888745","1"
"14",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",8630,0.0306434775198313,8442.4,0.0299807811889436,"14","562","1"
"15",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",6730,0.0238969413335416,6730,0.0238996535080736,"15","1063","1"
"16",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",6621,0.0235099032049598,6621.8,0.0235154492703454,"16","1596","1"
"17",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",6063,0.0215285520513021,6063,0.0215309850062362,"17","837","1"
"18",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",5874,0.0208574492411922,5735.8,0.0203688879941287,"18","1351","1"
"19",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides",5839,0.0207331709430237,6376.2,0.0226430892546654,"19","1405","1"
"20",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",5703,0.0202502609844262,5029.5,0.0178609173963152,"20","1282","1"
"21",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus capitis",5427,0.0192702378331546,7241.2,0.0257150853705606,"21","29388","1"
"22",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",2956,0.010496189982459,2846,0.0101068958625522,"22","1354","1"
"23",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii",2043,0.00725430180452089,2228.1,0.0079123303830229,"23","564","1"
"24",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",1655,0.00587658809911017,1879.6,0.00667497847294027,"24","1643","1"
"25",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thuringiensis",1596,0.00566709039648328,1408.6,0.00500230961114851,"25","1428","1"
"26",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharoperbutylacetonicum",1523,0.00540788137458899,1577.5,0.0056021116421871,"26","36745","1"
"27",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pasteuri",1433,0.00508830860787001,1051.2,0.00373317001685492,"27","45972","1"
"28",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",1424,0.00505635133119811,1348.3,0.00478813525630767,"28","1139996","1"
"29",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",1397,0.00496047950118242,1397.6,0.00496302542932449,"29","1313","1"
"30",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus",1022,0.00362892630651999,915.8,0.00325206111450628,"30","1281","1"
"31",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",854,0.00303239047531123,925.5,0.0032865721082927,"31","1352","1"
"32",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",717,0.00254592970819456,717.1,0.00254644686359671,"32","1747","1"
"33",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saccharolyticus",703,0.00249621838892716,825.3,0.00293078015054454,"33","33028","1"
"34",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus anthracis",702,0.00249266758040806,1097.9,0.00389902220647836,"34","1392","1"
"35",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",516,0.0018322171958555,516,0.00183242540679134,"35","537011","1"
"36",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar",509,0.0018073615362218,729.6,0.00259095730728321,"36","44009","1"
"37",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus caprae",396,0.00140612017356352,774.3,0.0027497839540175,"37","29380","1"
"38",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus",388,0.00137771370541072,349.1,0.00123958885110595,"38","1579","1"
"39",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus lutetiensis",291,0.00103328527905804,249.6,0.000886222532330167,"39","150055","1"
"40",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus petrasii",244,0.000866397278660351,305.1,0.00108353460662465,"40","1276936","1"
"41",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus durans",214,0.000759873023087357,212.7,0.000755482855194687,"41","53345","1"
"42",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus",199,0.00070661089530086,208.2,0.000739371309837091,"42","29385","1"
"43",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pseudomycoides",186,0.000660450384552563,183.5,0.000651643166529368,"43","64104","1"
"44",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus",173,0.000614289873804265,161.2,0.000572354702538911,"44","47770","1"
"45",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus pseudoavium",159,0.000564578554536868,123.4,0.000438164582674068,"45","44007","1"
"46",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus piscifermentans",158,0.000561027746017768,161.1,0.00057194390761577,"46","70258","1"
"47",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Metapseudomonas","Metapseudomonas resinovorans",143,0.000507765618231271,135.3,0.000480580407956798,"47","53412","1"
"48",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equinus",137,0.000486460767116672,135.5,0.000481277657012939,"48","1335","1"
"49",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium",113,0.000401241362658277,112.1,0.000398041594561,"49","33945","1"
"50",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae",106,0.000376385703024579,93.6,0.00033223476993267,"50","1499973","1"
"51",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii",102,0.00036218246894818,118.7,0.000421481093095443,"51","33959","1"
"52",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",100,0.00035508085190998,105,0.00037300016189933,"52","1642","1"
"53",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus paranthracis",94,0.000333776000795381,75,0.000266430761481326,"53","2026186","1"
"54",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",92,0.000326674383757182,104.2,0.00036997177275303,"54","46126","1"
"55",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis",82,0.000291166298566184,111.2,0.000395030914805539,"55","1290","1"
"56",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus mundtii",72,0.000255658213375186,90.2,0.000320389938935761,"56","53346","1"
