"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
470,"Acinetobacter baumannii",42006,0.13694289319002,42006,0.13700184922918
1520,"Clostridium beijerinckii",34545,0.112619441157198,34481.4,0.112460491578508
1280,"Staphylococcus aureus",20826,0.0678944125500015,19722.8,0.0643254567452899
487,"Neisseria meningitidis",18619,0.0606994174238201,18619,0.0607255468199501
821,"Phocaeicola vulgatus",18422,0.0600571817918048,18422,0.0600830340852396
1299,"Deinococcus radiodurans",18315,0.0597083533013194,18315,0.0597340586871227
1396,"Bacillus cereus",14965,0.0487870874777092,14406.5,0.0469864046037221
210,"Helicobacter pylori",14807,0.0482719949403568,14807,0.0482927767933243
287,"Pseudomonas aeruginosa",14315,0.0466680358999938,14314.7,0.0466872439431721
1309,"Streptococcus mutans",13209,0.0430623881385273,13203.3,0.0430624412713947
1660,"Schaalia odontolytica",11132,0.036291203327889,11132,0.0363068143223057
1640,"Listeria seeligeri",10812,0.035247977935783,10702.2,0.0349051774179343
562,"Escherichia coli",9744,0.031766213189629,9471.1,0.0308899386807014
888745,"Streptococcus agalactiae",7289,0.0237627183845655,7292.4,0.0237841653938453
1063,"Cereibacter sphaeroides",7098,0.0231400432286522,7098,0.0231500044933709
1596,"Lactobacillus gasseri",6459,0.0210568525237904,6458.9,0.0210657313279648
837,"Porphyromonas gingivalis",5627,0.0183444665043147,5627,0.0183523640858553
1405,"Bacillus mycoides",4930,0.0160721911971337,5323.5,0.0173623588225665
29388,"Staphylococcus capitis",4486,0.0146247159655866,5527.8,0.0180286760747324
1282,"Staphylococcus epidermidis",4418,0.0144030305697641,4364.8,0.0142356237714195
1351,"Enterococcus faecalis",4404,0.0143573894588594,4040.5,0.013178094599589
1354,"Enterococcus hirae",3351,0.0109245259029605,3571.8,0.0116494287167117
564,"Escherichia fergusonii",2490,0.00811759758232515,2761.2,0.00900556011729031
36745,"Clostridium saccharoperbutylacetonicum",1879,0.00612568909927268,1941,0.00633039185121915
1428,"Bacillus thuringiensis",1288,0.00419898220322683,1188,0.00387475837070315
1313,"Streptococcus pneumoniae",1205,0.00392839561714932,1205.1,0.00393040103869694
1643,"Listeria welshimeri",1113,0.00362846831691883,1217.2,0.00396977699599697
33028,"Staphylococcus saccharolyticus",1052,0.00342960347654862,849.4,0.00277026542348362
1352,"Enterococcus faecium",891,0.00290473070114527,907.3,0.00295902796460715
537011,"Segatella copri",720,0.0023472571322386,720,0.00234826766337583
45972,"Staphylococcus pasteuri",621,0.00202450927655579,743.6,0.00242512565166357
1392,"Bacillus anthracis",577,0.00188106578514121,834.4,0.00272153752998657
1747,"Cutibacterium acnes",559,0.00182238435683525,559,0.00182316838485564
44009,"Enterococcus dispar",393,0.00128121118468024,452,0.0014741628942726
1276936,"Staphylococcus petrasii",321,0.00104648547145638,351.3,0.00114567931249272
1139996,"Enterococcus saccharolyticus",290,0.000945423011596102,301.1,0.000982140296490197
1281,"Staphylococcus carnosus",289,0.000942162932245771,324.9,0.00105951016687396
29385,"Staphylococcus saprophyticus",221,0.000720477536423237,220.1,0.000717715531391839
46126,"Staphylococcus chromogenes",192,0.000625935235263626,201.9,0.000658366432927334
53345,"Enterococcus durans",156,0.000508572378651696,195.6,0.000638028039757653
64104,"Bacillus pseudomycoides",133,0.000433590553594074,106.6,0.000347744928328839
53412,"Metapseudomonas resinovorans",122,0.000397729680740429,113.4,0.000369774635718367
29380,"Staphylococcus caprae",113,0.000368388966587447,198.2,0.000646359103142219
940190,"Melissococcus plutonius",90,0.000293407141529825,89.6,0.000292089623914335
624,"Shigella sonnei",90,0.000293407141529825,84.8,0.000276640448102986
33945,"Enterococcus avium",88,0.000286886982829162,84.7,0.000276136827476309
1642,"Listeria innocua",72,0.00023472571322386,76.2,0.000248546072396393
2026194,"Bacillus paramycoides",72,0.00023472571322386,72.7,0.000237217244264722
1290,"Staphylococcus hominis",70,0.000228205554523197,76.2,0.000248373249272057
29367,"Clostridium puniceum",70,0.000228205554523197,69,0.000225113512660489
985762,"Staphylococcus agnetis",66,0.000215165237121872,67.3,0.000219352264739862
33025,"Phascolarctobacterium faecium",62,0.000202124919720546,62,0.000202211937679585
53346,"Enterococcus mundtii",49,0.000159743888166238,43.5,0.000141958584641535
574375,"Bacillus gaemokensis",48,0.000156483808815907,65.2,0.000212769307540617
310348,"Pseudomonas guezennei",44,0.000143443491414581,43.3,0.000141076520238526
29384,"Staphylococcus kloosii",43,0.00014018341206425,35.8,0.000116696628289415
33959,"Lactobacillus johnsonii",43,0.00014018341206425,37.4,0.000121845399489195
150033,"Enterococcus ratti",38,0.000123883015312593,42.5,0.00013857426000875
586733,"Staphylococcus devriesei",37,0.000120622935962261,39,0.000127102930582371
853,"Faecalibacterium prausnitzii",35,0.000114102777261599,35,0.000114151900302992
44007,"Enterococcus pseudoavium",34,0.000110842697911267,31.8,0.00010362051981907
154621,"Enterococcus phoeniculicola",34,0.000110842697911267,34.2,0.000111466423650499
2026187,"Bacillus pacificus",34,0.000110842697911267,44.1,0.000143926279139795
1285,"Staphylococcus intermedius",33,0.000107582618560936,38.5,0.000125404413766437
574376,"Bacillus manliponensis",29,9.45423011596102e-05,29.2,9.51316286836714e-05
1284,"Staphylococcus hyicus",28,9.12822218092788e-05,34.6,0.000112709932772203
1398493,"Pseudocitrobacter faecalis",27,8.80221424589474e-05,22,7.17934456391423e-05
1579,"Lactobacillus acidophilus",26,8.47620631086161e-05,24.7,8.04571832914138e-05
29378,"Staphylococcus arlettae",25,8.15019837582847e-05,28.6,9.31655878112269e-05
150055,"Streptococcus lutetiensis",25,8.15019837582847e-05,21.6,7.0572450420518e-05
204516,"Phocaeicola massiliensis",22,7.17217457072905e-05,22,7.17526230475948e-05
137658,"Pseudomonas indica",21,6.84616663569591e-05,28.9,9.42473580061249e-05
1499973,"Escherichia marmotae",21,6.84616663569591e-05,21.8,7.09965542921299e-05
160453,"Enterococcus gilvus",19,6.19415076562963e-05,21.4,6.97970373806934e-05
71451,"Enterococcus malodoratus",19,6.19415076562963e-05,22.4,7.32061219019188e-05
622,"Shigella dysenteriae",17,5.54213489556336e-05,20,6.51434050372181e-05
1288,"Staphylococcus xylosus",17,5.54213489556336e-05,24.9,8.123707817503e-05
1303,"Streptococcus oralis",17,5.54213489556336e-05,16.3,5.30263574384704e-05
155617,"Enterococcus moraviensis",17,5.54213489556336e-05,20.3,6.62281630349528e-05
2026193,"Bacillus nitratireducens",17,5.54213489556336e-05,20.2,6.60050105634546e-05
47678,"Bacteroides caccae",16,5.21612696053022e-05,16,5.21837258527962e-05
1640685,"Enterococcus massiliensis",16,5.21612696053022e-05,18.5,6.04550656842529e-05
70255,"Staphylococcus condimenti",13,4.2381031554308e-05,13.2,4.30996881140947e-05
40215,"Acinetobacter junii",12,3.91209522039766e-05,11.9,3.87513607677423e-05
47770,"Lactobacillus crispatus",12,3.91209522039766e-05,15.9,5.19447063656924e-05
46503,"Parabacteroides merdae",12,3.91209522039766e-05,12,3.91377943895972e-05
357276,"Phocaeicola dorei",12,3.91209522039766e-05,12,3.91410629129007e-05
1305,"Streptococcus sanguinis",11,3.58608728536453e-05,12.6,4.12007475390738e-05
223919,"Clostridium diolis",11,3.58608728536453e-05,13,4.22932539533761e-05
28117,"Alistipes putredinis",11,3.58608728536453e-05,11,3.58763115237974e-05
40519,"Ruminococcus callidus",10,3.26007935033139e-05,10,3.26148286579976e-05
52773,"Schaalia meyeri",10,3.26007935033139e-05,9.3,3.0232347720758e-05
37734,"Enterococcus casseliflavus",10,3.26007935033139e-05,12.2,3.97653562693117e-05
160454,"Enterococcus pallens",9,2.93407141529825e-05,10.8,3.53493664075589e-05
566,"Pseudescherichia vulneris",9,2.93407141529825e-05,10.2,3.32557489475232e-05
1796922,"Piscinibacter defluvii",9,2.93407141529825e-05,9,2.93533457921979e-05
1638,"Listeria ivanovii",8,2.60806348026511e-05,8.8,2.87430056846926e-05
29382,"Staphylococcus cohnii",8,2.60806348026511e-05,8.8,2.87159398350424e-05
43263,"Aquipseudomonas alcaligenes",8,2.60806348026511e-05,8.6,2.81531772802152e-05
580165,"Bacillus cytotoxicus",8,2.60806348026511e-05,7.6,2.48943664107368e-05
1353,"Enterococcus gallinarum",8,2.60806348026511e-05,8.5,2.77831150104042e-05
2026186,"Bacillus paranthracis",8,2.60806348026511e-05,8.9,2.90189778481654e-05
449673,"Bacteroides stercoris",7,2.28205554523197e-05,7,2.28303800605983e-05
1334,"Streptococcus dysgalactiae",7,2.28205554523197e-05,7,2.28693998952844e-05
112904,"Enterococcus villorum",7,2.28205554523197e-05,9.9,3.21316146985951e-05
29401,"Pseudonocardia halophobica",7,2.28205554523197e-05,3.5,1.14151900302992e-05
823,"Parabacteroides distasonis",7,2.28205554523197e-05,7,2.28303800605983e-05
1095914,"Pseudonocardia yuanmonensis",7,2.28205554523197e-05,3.5,1.14151900302992e-05
181487,"Schaalia cardiffensis",6,1.95604761019883e-05,6.7,2.17486932694828e-05
29379,"Staphylococcus auricularis",6,1.95604761019883e-05,6.1,1.98013757455047e-05
1283,"Staphylococcus haemolyticus",6,1.95604761019883e-05,8,2.60469464059772e-05
1492,"Clostridium butyricum",6,1.95604761019883e-05,5.2,1.69230292029089e-05
1423723,"Lactobacillus amylovorus",6,1.95604761019883e-05,7.9,2.56691004576157e-05
214095,"Enterococcus canis",6,1.95604761019883e-05,5.1,1.66969547829504e-05
575,"Raoultella planticola",6,1.95604761019883e-05,6.5,2.1132922844716e-05
1121115,"Blautia wexlerae",6,1.95604761019883e-05,5.5,1.78817698903703e-05
745368,"Gemmiger formicilis",6,1.95604761019883e-05,6,1.95688971947986e-05
487174,"Barnesiella intestinihominis",6,1.95604761019883e-05,6,1.95688971947986e-05
621,"Shigella boydii",6,1.95604761019883e-05,9.4,3.08099425925729e-05
70258,"Staphylococcus piscifermentans",5,1.63003967516569e-05,6.1,1.97333580063439e-05
317010,"Enterococcus canintestini",5,1.63003967516569e-05,6.3,2.06256357452739e-05
149016,"Streptococcus urinalis",5,1.63003967516569e-05,6.3,2.04266221127856e-05
489,"Neisseria polysaccharea",5,1.63003967516569e-05,5,1.63100726896461e-05
490573,"Solirubrobacter ginsenosidimutans",5,1.63003967516569e-05,2.5,8.15370712874899e-06
454154,"Paraprevotella clara",5,1.63003967516569e-05,5,1.63074143289988e-05
363832,"Solirubrobacter soli",5,1.63003967516569e-05,2.5,8.15370712874899e-06
1336242,"Stenotrophomonas geniculata",4,1.30403174013255e-05,4,1.30459314547168e-05
1296,"Mammaliicoccus sciuri",4,1.30403174013255e-05,4,1.30487885500872e-05
201828,"Staphylococcus casei",4,1.30403174013255e-05,3.9,1.28629685264601e-05
234908,"Sutterella stercoricanis",4,1.30403174013255e-05,2,6.52296573159953e-06
820,"Bacteroides uniformis",4,1.30403174013255e-05,4,1.30459314631991e-05
332949,"Enterococcus silesiacus",4,1.30403174013255e-05,5.1,1.6504625834844e-05
69969,"Macrococcus carouselicus",4,1.30403174013255e-05,3.7,1.21044905344979e-05
413497,"Cronobacter dublinensis",4,1.30403174013255e-05,4.4,1.43621004399048e-05
871665,"Blautia faecis",4,1.30403174013255e-05,4,1.30459314631991e-05
1298596,"Mediterraneibacter faecis",4,1.30403174013255e-05,4,1.30459314631991e-05
643214,"Mammaliicoccus stepanovicii",4,1.30403174013255e-05,4,1.30459314631991e-05
1349822,"Coprobacter fastidiosus",4,1.30403174013255e-05,4,1.30459314631991e-05
1111760,"Streptococcus troglodytae",4,1.30403174013255e-05,4,1.30460907005359e-05
155618,"Enterococcus haemoperoxidus",4,1.30403174013255e-05,3.7,1.20377610186659e-05
1796613,"Bacteroides caecimuris",4,1.30403174013255e-05,4,1.30459314630468e-05
1816689,"Sutterella massiliensis",4,1.30403174013255e-05,2,6.52296573159953e-06
2026192,"Bacillus proteolyticus",4,1.30403174013255e-05,5.7,1.86534387126702e-05
28035,"Staphylococcus lugdunensis",3,9.78023805099416e-06,2.4,7.93509151093858e-06
263475,"Viridibacillus arvi",3,9.78023805099416e-06,3,9.80690149120516e-06
57732,"Enterococcus asini",3,9.78023805099416e-06,2.7,8.83300170714153e-06
1587,"Lactobacillus helveticus",3,9.78023805099416e-06,3.4,1.10766149137614e-05
227945,"Lactobacillus ultunensis",3,9.78023805099416e-06,3.3,1.0676683934079e-05
83683,"Lactobacillus amylolyticus",3,9.78023805099416e-06,2.7,8.86671998499796e-06
901,"Desulfovibrio piger",3,9.78023805099416e-06,3,9.78444859739929e-06
319939,"Metapseudomonas otitidis",3,9.78023805099416e-06,3.9,1.26247302234897e-05
393310,"Skermanella aerolata",3,9.78023805099416e-06,3,9.78444859739929e-06
439699,"Pseudosporangium ferrugineum",3,9.78023805099416e-06,0.8,2.44611214934982e-06
83,"Hyphomicrobium vulgare",3,9.78023805099416e-06,1.5,4.89222429869965e-06
1123023,"Pseudonocardia acaciae",3,9.78023805099416e-06,3,9.78444859739929e-06
1639,"Listeria monocytogenes",3,9.78023805099416e-06,2.7,8.88965918661094e-06
88431,"Dorea longicatena",3,9.78023805099416e-06,3,9.78444859739929e-06
1073999,"Cronobacter condimenti",3,9.78023805099416e-06,3.4,1.10837863137449e-05
349313,"Krasilnikovia cinnamomea",3,9.78023805099416e-06,0.8,2.44611214934982e-06
497964,"Chthoniobacter flavus",3,9.78023805099416e-06,3,9.78444859739929e-06
56428,"Couchioplanes caeruleus",3,9.78023805099416e-06,0.8,2.44611214934982e-06
53398,"Hyphomicrobium aestuarii",3,9.78023805099416e-06,1.5,4.89222429869965e-06
1262585,"Acinetobacter qingfengensis",3,9.78023805099416e-06,3,9.78447783349792e-06
1242999,"Enterococcus olivae",3,9.78023805099416e-06,3.8,1.23794771955069e-05
1453587,"Enterococcus crotali",3,9.78023805099416e-06,3.7,1.20894750955192e-05
1494962,"Listeria floridensis",3,9.78023805099416e-06,3,9.79123799836381e-06
1629072,"Symbioplanes lichenis",3,9.78023805099416e-06,0.8,2.44611214934982e-06
1962348,"Nocardioides sonneratiae",3,9.78023805099416e-06,2.8,9.1308368702856e-06
1778672,"Novosphingobium flavum",3,9.78023805099416e-06,3,9.78444859739929e-06
2005703,"Enterococcus wangshanyuanii",3,9.78023805099416e-06,2.8,9.270605460973e-06
1892554,"Adhaeribacter terrae",3,9.78023805099416e-06,3,9.78444859739929e-06
2675101,"Noviluteimonas caseinilytica",3,9.78023805099416e-06,3,9.78444859675713e-06
623,"Shigella flexneri",2,6.52015870066277e-06,2.6,8.49727056571241e-06
1641,"Listeria grayi",2,6.52015870066277e-06,1.5,4.90134499634968e-06
65505,"Virgisporangium ochraceum",2,6.52015870066277e-06,0.7,2.17432191053315e-06
175570,"Virgisporangium aurantiacum",2,6.52015870066277e-06,0.7,2.17432191053315e-06
86664,"Priestia flexa",2,6.52015870066277e-06,1,3.26148286579976e-06
113566,"Winogradskya humida",2,6.52015870066277e-06,2,6.52296573159953e-06
44008,"Enterococcus cecorum",2,6.52015870066277e-06,2.1,6.76209351012999e-06
161360,"Planococcus antarcticus",2,6.52015870066277e-06,2,6.52296657098592e-06
28037,"Streptococcus mitis",2,6.52015870066277e-06,2.7,8.88102662666886e-06
1293,"Staphylococcus gallinarum",2,6.52015870066277e-06,2.2,7.23999727428961e-06
214856,"Alistipes finegoldii",2,6.52015870066277e-06,2,6.52294900287876e-06
80867,"Paracidovorax avenae",2,6.52015870066277e-06,1,3.26148286579976e-06
1404,"Priestia megaterium",2,6.52015870066277e-06,1,3.26148286579976e-06
903983,"Enterococcus quebecensis",2,6.52015870066277e-06,2.9,9.51169793758059e-06
903984,"Enterococcus ureasiticus",2,6.52015870066277e-06,2.2,7.06096923222061e-06
1385369,"Skermanella stibiiresistens",2,6.52015870066277e-06,2,6.5229642609162e-06
354197,"Arenimonas malthae",2,6.52015870066277e-06,0.7,2.17373288595974e-06
370777,"Arenimonas daejeonensis",2,6.52015870066277e-06,0.7,2.17373288595974e-06
1866,"Actinoplanes missouriensis",2,6.52015870066277e-06,1,3.26122067963964e-06
411459,"Blautia obeum",2,6.52015870066277e-06,2,6.52296573159953e-06
135950,"Actinoplanes nipponensis",2,6.52015870066277e-06,1,3.26122067963964e-06
380628,"Agrilutibacter niabensis",2,6.52015870066277e-06,0.4,1.30459314631991e-06
693216,"Cronobacter turicensis",2,6.52015870066277e-06,3.2,1.04802990279846e-05
465561,"Salinicoccus salitudinis",2,6.52015870066277e-06,2,6.52301308891414e-06
80868,"Paracidovorax cattleyae",2,6.52015870066277e-06,1,3.26148286579976e-06
818,"Bacteroides thetaiotaomicron",2,6.52015870066277e-06,0.7,2.17432191053318e-06
1077285,"Bacteroides faecis",2,6.52015870066277e-06,0.7,2.17432191053318e-06
357441,"Enterococcus lactis",2,6.52015870066277e-06,3.5,1.1577829733931e-05
871664,"Blautia stercoris",2,6.52015870066277e-06,2,6.52296557297804e-06
445629,"Cereibacter johrii",2,6.52015870066277e-06,2,6.52385380514876e-06
529731,"Listeria marthii",2,6.52015870066277e-06,1.9,6.20272913306021e-06
564710,"Vagococcus acidifermentans",2,6.52015870066277e-06,1.9,6.24902769876762e-06
471,"Acinetobacter calcoaceticus",2,6.52015870066277e-06,2.1,6.77873820228588e-06
670291,"Microvirga aerophila",2,6.52015870066277e-06,0.7,2.17432191051789e-06
198483,"Macrococcus brunensis",2,6.52015870066277e-06,2.3,7.46440666030071e-06
2039284,"Bacillus fungorum",2,6.52015870066277e-06,3.1,1.00960343334443e-05
1236513,"Bacteroides faecichinchillae",2,6.52015870066277e-06,0.7,2.17432191053318e-06
762845,"Enterococcus rivorum",2,6.52015870066277e-06,3,9.75162620404927e-06
350058,"Mycolicibacterium vanbaalenii",2,6.52015870066277e-06,1.5,4.9154239240225e-06
515619,"Agathobacter rectalis",2,6.52015870066277e-06,2,6.52296573159953e-06
1230389,"Reyranella soli",2,6.52015870066277e-06,2,6.52296573159953e-06
266061,"Pseudoxanthomonas koreensis",2,6.52015870066277e-06,0.7,2.17373288595974e-06
1128671,"Microvirga arabica",2,6.52015870066277e-06,0.7,2.17432191051789e-06
1312183,"Rhizobium jaguaris",2,6.52015870066277e-06,1.5,4.89222434269096e-06
1150298,"Fusicatenibacter saccharivorans",2,6.52015870066277e-06,2,6.52296573159953e-06
433649,"Nocardioides marmoribigeumensis",2,6.52015870066277e-06,2,6.52296422606886e-06
39488,"Anaerobutyricum hallii",2,6.52015870066277e-06,2,6.52296573159953e-06
1160095,"Vagococcus entomophilus",2,6.52015870066277e-06,2,6.52519115794413e-06
1743261,"Lysobacter terricola",2,6.52015870066277e-06,0.4,1.30459314631991e-06
1890302,"Bacillus wiedmannii",2,6.52015870066277e-06,2.6,8.50812573075673e-06
1805431,"Enterococcus saigonensis",2,6.52015870066277e-06,2.2,7.19812933616767e-06
1854496,"Microvirga soli",2,6.52015870066277e-06,0.7,2.17432191051789e-06
1612172,"Vicinamibacter silvestris",2,6.52015870066277e-06,2,6.52296573159953e-06
1537377,"Lysobacter rhizosphaerae",2,6.52015870066277e-06,0.4,1.30459314631991e-06
1537378,"Lysobacter fragariae",2,6.52015870066277e-06,0.4,1.30459314631991e-06
1537376,"Lysobacter tyrosinelyticus",2,6.52015870066277e-06,0.4,1.30459314631991e-06
1938555,"Virgisporangium myanmarense",2,6.52015870066277e-06,0.7,2.17432191053315e-06
2303576,"Sphingomonas mesophila",2,6.52015870066277e-06,2,6.52296573159953e-06
1912896,"Bacteroides koreensis",2,6.52015870066277e-06,1,3.26148286561143e-06
1912894,"Bacteroides kribbi",2,6.52015870066277e-06,1,3.26148286561143e-06
252231,"Nocardioides aestuarii",1,3.26007935033139e-06,1.2,3.91509459251847e-06
1292,"Staphylococcus warneri",1,3.26007935033139e-06,1.9,6.10289364889734e-06
1267,"Sarcina ventriculi",1,3.26007935033139e-06,1,3.26140262435927e-06
33879,"Agromyces ramosus",1,3.26007935033139e-06,1,3.26144058139786e-06
1677,"Arthrobacter pascens",1,3.26007935033139e-06,0.2,6.52296573159953e-07
1676,"Pseudarthrobacter polychromogenes",1,3.26007935033139e-06,0.2,6.52296573159953e-07
1671,"Pseudarthrobacter oxydans",1,3.26007935033139e-06,0.2,6.52296573159953e-07
47481,"Streptosporangium carneum",1,3.26007935033139e-06,0.3,1.06345933854339e-06
266,"Paracoccus denitrificans",1,3.26007935033139e-06,0.2,7.53668580075729e-07
53450,"Streptomyces odorifer",1,3.26007935033139e-06,0.2,6.52296573159953e-07
65499,"Lentzea albida",1,3.26007935033139e-06,0.2,8.15370716449941e-07
888746,"Streptococcus peroris",1,3.26007935033139e-06,1,3.32862470237303e-06
86663,"Bacillus carboniphilus",1,3.26007935033139e-06,1,3.26148286579976e-06
1193181,"Phycicoccus elongatus",1,3.26007935033139e-06,0.5,1.48503078531964e-06
116085,"Coprococcus catus",1,3.26007935033139e-06,1,3.26148286579976e-06
75922,"Mycolicibacterium tusciae",1,3.26007935033139e-06,1.5,4.86902467337666e-06
53376,"Mycobacterium heidelbergense",1,3.26007935033139e-06,0.5,1.59887390018397e-06
42197,"Actinosynnema pretiosum",1,3.26007935033139e-06,0.2,8.15370716449941e-07
187868,"Paracidovorax valerianellae",1,3.26007935033139e-06,0.5,1.54760782363026e-06
38304,"Corynebacterium tuberculostearicum",1,3.26007935033139e-06,1,3.26148286579976e-06
214473,"Staphylococcus nepalensis",1,3.26007935033139e-06,1,3.34091855893894e-06
219182,"Ottowia thiooxydans",1,3.26007935033139e-06,0.3,1.02611992466113e-06
227944,"Lactobacillus kalixensis",1,3.26007935033139e-06,1.8,6.01393190420208e-06
57001,"Amaricoccus macauensis",1,3.26007935033139e-06,1,3.25938183295585e-06
61171,"Holdemania filiformis",1,3.26007935033139e-06,1,3.26148286579976e-06
33039,"[Ruminococcus] torques",1,3.26007935033139e-06,1,3.26148286579976e-06
615,"Serratia marcescens",1,3.26007935033139e-06,1.2,3.87447257997966e-06
94138,"Staphylococcus ureilyticus",1,3.26007935033139e-06,1.9,6.08930409816498e-06
290306,"Paracoccus koreensis",1,3.26007935033139e-06,1,3.2612262284045e-06
