"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1520,"Clostridium beijerinckii",40799,0.0931796744569525,40676.3,0.0929326592788069
1280,"Staphylococcus aureus",37849,0.0864422534503589,35734.4,0.0816419482898679
1396,"Bacillus cereus",31093,0.0710124174094959,29571.2,0.0675610103917908
470,"Acinetobacter baumannii",27415,0.0626123379307667,27415,0.0626347967236177
1299,"Deinococcus radiodurans",27381,0.0625346862988263,27381,0.0625571172686063
1640,"Listeria seeligeri",25318,0.0578230593372662,24922.4,0.0569399938717731
821,"Phocaeicola vulgatus",25059,0.0572315366116025,25059,0.0572520165388657
487,"Neisseria meningitidis",24125,0.0550984006047692,24125,0.0551181573859462
1309,"Streptococcus mutans",20799,0.0475022439037759,20794.3,0.0475084550904751
287,"Pseudomonas aeruginosa",20689,0.0472510180357335,20688.2,0.047266110583366
1660,"Schaalia odontolytica",16089,0.0367452090085029,16089,0.0367583872283174
1063,"Cereibacter sphaeroides",14372,0.0328238015955126,14372,0.0328355734049131
210,"Helicobacter pylori",13516,0.0308688075678367,13516,0.0308798800696147
562,"Escherichia coli",10640,0.0243003930542899,10435.4,0.0238416378896431
1405,"Bacillus mycoides",10317,0.0235627025508561,11490,0.0262510513249465
837,"Porphyromonas gingivalis",9228,0.0210755664572356,9228,0.0210831261736752
888745,"Streptococcus agalactiae",9203,0.0210184696690442,9203.5,0.0210270869930822
29388,"Staphylococcus capitis",9024,0.0206096566655932,12242.2,0.0279696110150966
1282,"Staphylococcus epidermidis",8848,0.0202076952767253,7477.2,0.0170830995687002
1351,"Enterococcus faecalis",8271,0.0188899014052662,7805.9,0.0178340869216105
1596,"Lactobacillus gasseri",7308,0.0166905331241307,7308.3,0.0166971983307783
1354,"Enterococcus hirae",5523,0.0126138224472597,5703.6,0.0130310730315443
1643,"Listeria welshimeri",3148,0.00718962756906998,3535.1,0.00807652939173397
36745,"Clostridium saccharoperbutylacetonicum",2750,0.00628064670106177,2862.1,0.00653907016855452
1428,"Bacillus thuringiensis",2667,0.00609108536426609,2222.5,0.00507767234325254
564,"Escherichia fergusonii",2613,0.00596775630177251,2814,0.00642920956344667
1281,"Staphylococcus carnosus",2524,0.00576449173581088,2169.2,0.00495594056846953
537011,"Segatella copri",2300,0.0052529045136153,2300,0.00525478871179995
29380,"Staphylococcus caprae",1827,0.00417263328103268,1662.7,0.0037988421529538
1352,"Enterococcus faecium",1727,0.00394424612826679,1754.8,0.00400915823374037
1313,"Streptococcus pneumoniae",1681,0.00383918803799449,1681.7,0.00384219757082737
1392,"Bacillus anthracis",1255,0.00286625876721183,2037.8,0.00465572738391352
1747,"Cutibacterium acnes",1109,0.00253281352417364,1109,0.00253372186470423
45972,"Staphylococcus pasteuri",1100,0.00251225868042471,1241.9,0.00283744834164569
1139996,"Enterococcus saccharolyticus",996,0.00227473604154819,937.5,0.00214187869596483
1276936,"Staphylococcus petrasii",671,0.00153247779505907,787.1,0.00179827338213528
44009,"Enterococcus dispar",652,0.00148908423603355,825.6,0.00188615009732416
33028,"Staphylococcus saccharolyticus",397,0.000906696996480554,761.1,0.001738845290511
29385,"Staphylococcus saprophyticus",377,0.000861019565927377,369.4,0.000844044020234362
53345,"Enterococcus durans",365,0.000833613107595472,376.2,0.000859535455413025
70258,"Staphylococcus piscifermentans",310,0.000708000173574236,296.1,0.000676504237130906
64104,"Bacillus pseudomycoides",282,0.000644051770799789,245.4,0.000560774157235978
53346,"Enterococcus mundtii",260,0.000593806597191295,294.3,0.000672388507909831
53412,"Metapseudomonas resinovorans",242,0.000552696909693436,206.2,0.000471208598972296
33945,"Enterococcus avium",209,0.000477329149280695,207.6,0.00047438407111305
33025,"Phascolarctobacterium faecium",197,0.000449922690948789,197,0.000450084076619387
1290,"Staphylococcus hominis",191,0.000436219461782836,285.9,0.000653180503870487
2026188,"Bacillus tropicus",175,0.000399677517340295,159.6,0.000364611414337217
46126,"Staphylococcus chromogenes",172,0.000392825902757318,159.4,0.00036418759398589
29367,"Clostridium puniceum",171,0.000390542031229659,180.2,0.000411648843557654
1579,"Lactobacillus acidophilus",152,0.000347148472204142,116.4,0.000265946525578156
1642,"Listeria innocua",149,0.000340296857621165,143.5,0.000327916793762841
44007,"Enterococcus pseudoavium",145,0.00033116137151053,147.7,0.000337414274936791
621,"Shigella boydii",138,0.000315174270816918,123.9,0.000283006523929162
137658,"Pseudomonas indica",108,0.000246658124987153,142.1,0.000324735740718392
2026191,"Bacillus luti",108,0.000246658124987153,137.8,0.000314876446698178
1285,"Staphylococcus intermedius",104,0.000237522638876518,116.1,0.000265147440647264
112904,"Enterococcus villorum",104,0.000237522638876518,105.5,0.000240963914918148
150055,"Streptococcus lutetiensis",103,0.000235238767348859,78.6,0.000179618567869113
985762,"Staphylococcus agnetis",93,0.000212400052072271,107.2,0.000245004189495361
160453,"Enterococcus gilvus",89,0.000203264565961636,103.2,0.000235686486398784
29378,"Staphylococcus arlettae",82,0.000187277465268024,74.9,0.000171186029592935
47770,"Lactobacillus crispatus",79,0.000180425850685047,103.8,0.00023707357918291
940190,"Melissococcus plutonius",77,0.00017585810762973,80.5,0.000184031074461813
417368,"Enterococcus thailandicus",71,0.000162154878463777,79.4,0.000181403380460874
150033,"Enterococcus ratti",70,0.000159871006936118,92.3,0.000210915894392871
1890302,"Bacillus wiedmannii",70,0.000159871006936118,77.9,0.000177941984874049
622,"Shigella dysenteriae",68,0.0001553032638808,75.5,0.000172388858124126
586733,"Staphylococcus devriesei",61,0.000139316163187188,66.3,0.000151494012849522
29384,"Staphylococcus kloosii",57,0.000130180677076553,60.4,0.000138107734791079
853,"Faecalibacterium prausnitzii",56,0.000127896805548894,56,0.000127942681678608
46503,"Parabacteroides merdae",55,0.000125612934021235,55,0.000125657990934347
204516,"Phocaeicola massiliensis",53,0.000121045190965918,53,0.000121088609445825
1640685,"Enterococcus massiliensis",52,0.000118761319438259,53.6,0.000122514937492945
1288,"Staphylococcus xylosus",47,0.000107341961799965,60.7,0.000138574669244617
155617,"Enterococcus moraviensis",47,0.000107341961799965,42.2,9.63412026653868e-05
47678,"Bacteroides caccae",44,0.000100490347216988,44,0.000100526392747365
155322,"Bacillus toyonensis",44,0.000100490347216988,73.4,0.000167647351600776
1305,"Streptococcus sanguinis",41,9.36387326340119e-05,59.5,0.000135867448387739
1284,"Staphylococcus hyicus",41,9.36387326340119e-05,64.3,0.000146929153646887
1303,"Streptococcus oralis",39,8.90709895786942e-05,36.1,8.24238592345645e-05
1353,"Enterococcus gallinarum",38,8.67871180510354e-05,39,8.90343927061286e-05
