"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",67974,0.0936247462212097,67772.5,0.0933709953190131,"1","1520","1"
"2",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",62791,0.0864858834256624,62791,0.0865079265450949,"2","470","1"
"3",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",54062,0.0744628980229358,54062,0.0744818768848824,"3","1299","1"
"4",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",53664,0.0739147082886839,50351.2,0.0693695173530223,"4","1280","1"
"5",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",51233,0.0705663433540948,51233,0.0705843195572134,"5","487","1"
"6",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",43807,0.0603380595185296,41740.4,0.0575062361290368,"6","1396","1"
"7",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",41110,0.056623316520345,41110,0.0566377092168973,"7","821","1"
"8",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",36550,0.0503425497158504,36550,0.0503553808616487,"8","210","1"
"9",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",33330,0.0459074468407467,33328,0.0459163967869762,"9","287","1"
"10",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",33146,0.0456540123907408,33143.5,0.0456622050874538,"10","1309","1"
"11",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",31334,0.043158234002639,30887.3,0.042553816704281,"11","1640","1"
"12",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",28628,0.0394310947541824,28628,0.0394411444378934,"12","1660","1"
"13",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",20664,0.0284617906245782,20183.1,0.0278065604169103,"13","562","1"
"14",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",19000,0.0261698616853942,19000,0.0261765241910916,"14","1063","1"
"15",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides",14722,0.0202775107227565,16293.2,0.0224472733431471,"15","1405","1"
"16",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",14595,0.0201025858578067,14595,0.0201077095089765,"16","837","1"
"17",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus capitis",13343,0.0183781297088534,17132.9,0.0236041436635688,"17","29388","1"
"18",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",12636,0.0174043353819285,12637,0.0174101178761607,"18","888745","1"
"19",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",12112,0.0166825981438681,12111.7,0.0166865028662249,"19","1596","1"
"20",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",11746,0.016178483966139,10819.5,0.014906139332919,"20","1282","1"
"21",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",10494,0.0144540278171856,9513.3,0.01310664363681,"21","1351","1"
"22",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",8556,0.0117847019252754,9075.3,0.0125031626524129,"22","1354","1"
"23",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii",5146,0.00708790043331782,5621.5,0.00774485567761568,"23","564","1"
"24",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharoperbutylacetonicum",4534,0.00624495541481985,4716.6,0.00649817698884194,"24","36745","1"
"25",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thuringiensis",3865,0.00532350081126571,3455.9,0.00476128165545318,"25","1428","1"
"26",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus",3831,0.00527667053246027,3234,0.00445547043802386,"26","1281","1"
"27",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",3759,0.00517750053028404,4198.9,0.00578492631985484,"27","1643","1"
"28",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pasteuri",2899,0.00399296994873462,2654.8,0.00365759067559668,"28","45972","1"
"29",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",2699,0.00371749772046731,2669.7,0.00367803957211739,"29","1352","1"
"30",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",2444,0.00336627062942649,2444.2,0.00336743552313027,"30","1313","1"
"31",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",2137,0.00294342075903618,2137,0.002944170968573,"31","537011","1"
"32",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus anthracis",1792,0.00246823116527507,2654.8,0.0036574964714125,"32","1392","1"
"33",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus caprae",1732,0.00238558949679488,2089,0.00287798164620228,"33","29380","1"
"34",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar",1435,0.00197651323781793,1494.4,0.00205880862817837,"34","44009","1"
"35",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",1256,0.00172996559351869,1446.3,0.00199255769021026,"35","1139996","1"
"36",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saccharolyticus",1040,0.00143245558699,1374,0.00189294010773748,"36","33028","1"
"37",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",1001,0.00137873850247787,1001,0.0013790899108758,"37","1747","1"
"38",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus petrasii",618,0.000851209185345979,989,0.00136249186686017,"38","1276936","1"
"39",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus durans",609,0.000838812935073951,625.8,0.000862141497774251,"39","53345","1"
"40",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus",576,0.000793360017409845,559.5,0.00077089696391038,"40","29385","1"
"41",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus piscifermentans",486,0.000669397514689557,530.1,0.000730316199794958,"41","70258","1"
"42",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Metapseudomonas","Metapseudomonas resinovorans",461,0.000634963486156143,431,0.000593738049936114,"42","53412","1"
"43",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pseudomycoides",445,0.000612925707894759,420.1,0.000578749037019285,"43","64104","1"
"44",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus mundtii",420,0.000578491679361345,529.4,0.000729355092895001,"44","53346","1"
"45",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium",307,0.000422849870390317,274.1,0.000377630367660651,"45","33945","1"
"46",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium puniceum",293,0.000403566814411605,306.3,0.000421929321057716,"46","29367","1"
"47",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis",289,0.000398057369846259,338.8,0.000466714988409511,"47","1290","1"
"48",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella boydii",255,0.000351227091040817,196.4,0.000270529316897593,"48","621","1"
"49",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus toyonensis",242,0.000333321396203442,195.8,0.000269790025870547,"49","155322","1"
"50",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",239,0.000329189312779432,259.5,0.00035745127778345,"50","46126","1"
"51",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus pseudoavium",232,0.000319547784790076,219.9,0.000303015286593487,"51","44007","1"
"52",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus intermedius",168,0.000231396671744538,198.9,0.000274038365596454,"52","1285","1"
"53",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus luti",167,0.000230019310603202,184.6,0.000254347864453173,"53","2026191","1"
"54",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",164,0.000225887227179192,162.8,0.000224244347563175,"54","1642","1"
"55",NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium",159,0.000219000421472509,159,0.000219056239589662,"55","33025","1"
"56",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus villorum",156,0.0002148683380485,166.9,0.000230001842914091,"56","112904","1"
"57",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas indica",155,0.000213490976907163,184.2,0.000253837635468727,"57","137658","1"
"58",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus arlettae",153,0.00021073625462449,135.7,0.000186895720148222,"58","29378","1"
"59",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","Melissococcus plutonius",151,0.000207981532341817,152.1,0.000209595555094999,"59","940190","1"
