"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",36894,0.130720853189718,36338.1,0.128781022275674
1396,"Bacillus cereus",26512,0.0939359044767658,26532.6,0.0940304875847101
1520,"Clostridium beijerinckii",26305,0.0932024731163747,26305.1,0.0932244302207906
470,"Acinetobacter baumannii",18514,0.0655978174216522,18514,0.0656129282622577
487,"Neisseria meningitidis",16894,0.0598579198185909,16894,0.0598717079050573
821,"Phocaeicola vulgatus",16075,0.0569560826970432,16074.9,0.0569689285661343
1299,"Deinococcus radiodurans",15722,0.0557053519230429,15722,0.055718184073431
1642,"Listeria innocua",14415,0.0510744592272397,14437.2,0.0511647460230911
1309,"Streptococcus mutans",14343,0.0508193526671037,14303.1,0.0506895637437618
287,"Pseudomonas aeruginosa",13894,0.0492284798129219,13893.9,0.0492395706728377
1660,"Schaalia odontolytica",12208,0.0432547345297359,12207.9,0.0432644264981763
1351,"Enterococcus faecalis",11592,0.0410721561819051,11548.9,0.0409289841074737
210,"Helicobacter pylori",11425,0.0404804506882562,11425,0.0404897756671511
562,"Escherichia coli",10867,0.0385033748472018,10867,0.0385122028836183
888745,"Streptococcus agalactiae",9473,0.0335642283912343,9508.2,0.033696883761259
1596,"Lactobacillus gasseri",7433,0.0263362091873793,7436.3,0.0263539603572804
1063,"Cereibacter sphaeroides",6741,0.0238843516927383,6741,0.0238898532833685
837,"Porphyromonas gingivalis",6062,0.0214785551047886,6062.3,0.021484654931122
1282,"Staphylococcus epidermidis",1605,0.00568675040303293,2131.7,0.00755454943991622
1313,"Streptococcus pneumoniae",1449,0.00513401952273814,1449.9,0.00513855772009699
1354,"Enterococcus hirae",989,0.00350417205520223,1000.9,0.00354715851765955
1747,"Cutibacterium acnes",717,0.0025404361613549,717.1,0.00254124393651579
537011,"Segatella copri",516,0.00182826368097507,516,0.00182868483538293
29378,"Staphylococcus arlettae",277,0.000981451627190108,276.2,0.000978922606863138
46126,"Staphylococcus chromogenes",135,0.000478324800255107,129.8,0.000460007194340232
1139996,"Enterococcus saccharolyticus",128,0.000453522773575212,136.9,0.000485232194895178
1579,"Lactobacillus acidophilus",68,0.000240933973461831,67.4,0.00023891372538598
1281,"Staphylococcus carnosus",48,0.000170071040090705,50,0.000177362634522176
53412,"Metapseudomonas resinovorans",46,0.000162984746753592,46,0.000163102303673535
64104,"Bacillus pseudomycoides",37,0.000131096426736585,37,0.000131232819677515
574376,"Bacillus manliponensis",36,0.000127553280068028,34.5,0.000122200329987033
33025,"Phascolarctobacterium faecium",34,0.000120466986730916,34,0.000120494737215154
1640,"Listeria seeligeri",33,0.000116923840062359,27.4,9.72065926939542e-05
