"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",20896,0.129271732944,20651.5,0.127828110135716,"1","1280","1"
"2",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",15314,0.09473905619757,15314,0.0947900581086202,"2","1520","1"
"3",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",14834,0.0917695676919651,14856.4,0.0919575882273385,"3","1396","1"
"4",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",9554,0.0591051941303111,9554,0.0591370160420113,"4","821","1"
"5",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",9349,0.0578369750810423,9349,0.0578681192865942,"5","470","1"
"6",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",9036,0.0559006211180124,9036,0.0559307234374417,"6","487","1"
"7",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",8851,0.0547561307564772,8851,0.0547856174600915,"7","1299","1"
"8",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",8146,0.05039469451387,8093.9,0.0500991105739846,"8","1309","1"
"9",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",7885,0.0487800351389473,7904.6,0.048927742361517,"9","1642","1"
"10",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",7751,0.0479510529311326,7751,0.0479768706094223,"10","287","1"
"11",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",7436,0.0460023260993294,7439.9,0.0460514733463042,"11","888745","1"
"12",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",7290,0.0450991066788746,7290,0.0451233885071233,"12","1660","1"
"13",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",7128,0.0440969043082329,7158.9,0.0443117303272008,"13","1351","1"
"14",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",6022,0.0372547078765683,6022,0.0372747277795083,"14","562","1"
"15",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",6008,0.0371680977951548,6008,0.0371881131736786,"15","210","1"
"16",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",5044,0.0312043750463983,5048,0.0312458726177866,"16","1596","1"
"17",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",3679,0.0227598921085843,3679,0.0227721485296211,"17","1063","1"
"18",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",3297,0.0203966741728737,3297,0.0204076570582482,"18","837","1"
"19",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",1277,0.00790007671178639,1277,0.00790433097915906,"19","1747","1"
"20",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",1023,0.00632872237757046,1023.2,0.00633366361765746,"20","1313","1"
"21",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",667,0.00412635173591349,881,0.00545310231364956,"21","1282","1"
"22",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",281,0.00173838806265621,281,0.00173932420136546,"22","537011","1"
"23",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus ureilyticus",155,0.000958897329934919,152.5,0.000943996589004887,"23","94138","1"
"24",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",94,0.000581524832347628,92.4,0.000572211813060934,"24","1352","1"
"25",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus manliponensis",80,0.000494914750934152,77.3,0.000478390619666946,"25","574376","1"
"26",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arvi",39,0.000241270941080399,41.7,0.00025789444961798,"26","263475","1"
"27",NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium",20,0.000123728687733538,20,0.000123795316823165,"27","33025","1"
"28",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria ivanovii",19,0.000117542253346861,16.2,0.000100274964080907,"29","1638","1"
"29",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus agnetis",19,0.000117542253346861,18.7,0.00011596260997946,"30","985762","1"
"30",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus kloosii",19,0.000117542253346861,22.4,0.000138676458813486,"28","29384","1"
"31",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus auricularis",18,0.000111355818960184,17.5,0.000108329067852809,"31","29379","1"
"32",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus thailandicus",17,0.000105169384573507,16.2,0.00010008473594394,"32","417368","1"
"33",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus asini",12,7.42372126401227e-05,11.8,7.28436711827339e-05,"33","57732","1"
"34",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes",11,6.80507782534458e-05,11.1,6.84830730083194e-05,"34","1639","1"
"35",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria grayi",10,6.1864343866769e-05,11.3,6.99100326285357e-05,"35","1641","1"
"36",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","Melissococcus plutonius",10,6.1864343866769e-05,9.9,6.15717629435494e-05,"36","940190","1"
"37",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides finegoldii",9,5.56779094800921e-05,8.7,5.40255082381955e-05,"37","338188","1"
"38",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae",9,5.56779094800921e-05,8.6,5.35324022213071e-05,"38","1499973","1"
"39",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum",8,4.94914750934152e-05,8,4.95341095954533e-05,"41","1492","1"
"40",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii",8,4.94914750934152e-05,8,4.95181267292658e-05,"39","853","1"
"41",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola massiliensis",8,4.94914750934152e-05,8,4.95181267292658e-05,"40","204516","1"
"42",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",7,4.33050407067383e-05,7.8,4.83371995638668e-05,"43","46126","1"
"43",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dysgalactiae",7,4.33050407067383e-05,6.4,3.94905864541962e-05,"42","1334","1"
"44",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus sciuri",6,3.71186063200614e-05,5,3.12166304818542e-05,"44","1296","1"
"45",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",6,3.71186063200614e-05,7.2,4.44983277763366e-05,"45","1139996","1"
"46",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cytotoxicus",5,3.09321719333845e-05,5.1,3.17478711702273e-05,"52","580165","1"
"47",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria floridensis",5,3.09321719333845e-05,4.7,2.89464674994113e-05,"53","1494962","1"
"48",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",5,3.09321719333845e-05,5.5,3.42837718284026e-05,"49","1643","1"
"49",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus hominis",5,3.09321719333845e-05,4.4,2.74196774356595e-05,"54","1423758","1"
"50",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae",5,3.09321719333845e-05,5,3.09488292057911e-05,"46","47678","1"
"51",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii",5,3.09321719333845e-05,5,3.09488292057911e-05,"47","214856","1"
"52",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis",5,3.09321719333845e-05,5,3.09488292057911e-05,"50","28117","1"
