"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",61383,0.139568672479849,60775.6,0.138334102659846
1396,"Bacillus cereus",46048,0.104700947010607,46088.2,0.104903395542013
1520,"Clostridium beijerinckii",43734,0.0994395243346483,43734,0.0995449953566613
1642,"Listeria innocua",28718,0.0652971203146849,28710.5,0.065349288575908
470,"Acinetobacter baumannii",27449,0.0624117506622253,27449,0.0624779495390874
1299,"Deinococcus radiodurans",27381,0.0622571366855766,27381,0.0623231718559016
821,"Phocaeicola vulgatus",25059,0.0569775241300122,25059,0.0570379107534388
487,"Neisseria meningitidis",24128,0.0548606768908948,24128,0.0549188619680129
287,"Pseudomonas aeruginosa",21025,0.0478052773388206,21024.9,0.0478556528717369
1309,"Streptococcus mutans",20799,0.0472914132399586,20791.3,0.0473239403224129
1351,"Enterococcus faecalis",17687,0.040215550073328,17641.7,0.0401550225796401
1660,"Schaalia odontolytica",16112,0.036634417525949,16112,0.0366732743916177
1063,"Cereibacter sphaeroides",14376,0.0326872136515046,14376,0.0327218840809799
562,"Escherichia coli",13563,0.0308386671365719,13563,0.0308712971385524
210,"Helicobacter pylori",13516,0.0307318015938882,13516,0.0307643983046661
888745,"Streptococcus agalactiae",9421,0.0214208569707029,9426.1,0.0214551398524202
837,"Porphyromonas gingivalis",9228,0.0209820261252146,9228,0.0210042813575071
1596,"Lactobacillus gasseri",7614,0.0173122179147577,7614.5,0.0173317031443104
537011,"Segatella copri",2300,0.00522959038664863,2300,0.00523513733130907
1313,"Streptococcus pneumoniae",1727,0.00392674025988791,1727.8,0.00393277135274955
1282,"Staphylococcus epidermidis",1645,0.00374029399392913,2205.9,0.00502093425281887
1354,"Enterococcus hirae",1602,0.00364252339104831,1633.9,0.00371892649280018
1747,"Cutibacterium acnes",1109,0.00252157206034493,1109,0.00252424648291845
29384,"Staphylococcus kloosii",567,0.00128920771705642,563,0.0012813978715428
46126,"Staphylococcus chromogenes",280,0.000636645786200703,256.2,0.000583199063108865
1139996,"Enterococcus saccharolyticus",224,0.000509316628960562,236.7,0.000538661384669145
33025,"Phascolarctobacterium faecium",197,0.000447925785291209,197,0.000448400893159951
1284,"Staphylococcus hyicus",138,0.000313775423198918,135.8,0.000309176971472074
574376,"Bacillus manliponensis",125,0.000284216868839599,128.7,0.000292831944998236
1281,"Staphylococcus carnosus",93,0.000211457350416662,110.8,0.00025221403929122
53412,"Metapseudomonas resinovorans",82,0.000186446265958777,82.1,0.000186960277551474
154621,"Enterococcus phoeniculicola",76,0.000172803856254476,71.8,0.000163442432341607
853,"Faecalibacterium prausnitzii",56,0.000127329157240141,56,0.000127464213284047
46503,"Parabacteroides merdae",55,0.000125055422289424,55,0.00012518806661826
1640685,"Enterococcus massiliensis",55,0.000125055422289424,52.2,0.000118708746322745
204516,"Phocaeicola massiliensis",53,0.00012050795238799,53,0.000120635773286687
580165,"Bacillus cytotoxicus",51,0.000115960482486557,51.3,0.000116864823966069
47678,"Bacteroides caccae",44,0.000100044337831539,44,0.000100150453294608
29385,"Staphylococcus saprophyticus",43,9.77706028808222e-05,42.4,9.65257494611665e-05
1352,"Enterococcus faecium",37,8.41281931765214e-05,36.4,8.2938824609108e-05
357276,"Phocaeicola dorei",35,7.95807232750878e-05,35,7.97136777935942e-05
622,"Shigella dysenteriae",33,7.50332533736542e-05,32.9,7.48415634382783e-05
263475,"Viridibacillus arvi",33,7.50332533736542e-05,33,7.51702544059237e-05
586733,"Staphylococcus devriesei",33,7.50332533736542e-05,36,8.19146587342214e-05
28117,"Alistipes putredinis",31,7.04857834722206e-05,31,7.05605466393832e-05
1796613,"Bacteroides caecimuris",31,7.04857834722206e-05,29.8,6.7846695262483e-05
1643,"Listeria welshimeri",30,6.82120485215038e-05,19.5,4.44043080214874e-05
449673,"Bacteroides stercoris",28,6.36645786200703e-05,28,6.37321066420235e-05
487174,"Barnesiella intestinihominis",28,6.36645786200703e-05,28,6.37321066420235e-05
89014,"Blautia luti",27,6.13908436693535e-05,26.6,6.0658063617565e-05
