"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",61383,0.139568672479849,60775.6,0.138334102659846,"1","1280","1"
"2",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",46048,0.104700947010607,46088.2,0.104903395542013,"2","1396","1"
"3",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",43734,0.0994395243346483,43734,0.0995449953566613,"3","1520","1"
"4",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",28718,0.0652971203146849,28710.5,0.065349288575908,"4","1642","1"
"5",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",27449,0.0624117506622253,27449,0.0624779495390874,"5","470","1"
"6",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",27381,0.0622571366855766,27381,0.0623231718559016,"6","1299","1"
"7",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",25059,0.0569775241300122,25059,0.0570379107534388,"7","821","1"
"8",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",24128,0.0548606768908948,24128,0.0549188619680129,"8","487","1"
"9",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",21025,0.0478052773388206,21024.9,0.0478556528717369,"9","287","1"
"10",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",20799,0.0472914132399586,20791.3,0.0473239403224129,"10","1309","1"
"11",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",17687,0.040215550073328,17641.7,0.0401550225796401,"11","1351","1"
"12",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",16112,0.036634417525949,16112,0.0366732743916177,"12","1660","1"
"13",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",14376,0.0326872136515046,14376,0.0327218840809799,"13","1063","1"
