"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",89222,0.122409052743646,88931.7,0.122072913552695
1520,"Clostridium beijerinckii",72830,0.0999198775113736,72830,0.0999707559802316
1396,"Bacillus cereus",65307,0.0895986192590316,65326.6,0.0896711091743817
470,"Acinetobacter baumannii",62819,0.0861851817298774,62819,0.0862290713657647
1299,"Deinococcus radiodurans",54063,0.074172296277597,54063,0.0742100690035731
487,"Neisseria meningitidis",51234,0.070291020244648,51234,0.07032680883915
821,"Phocaeicola vulgatus",41110,0.0564012929355014,41110,0.0564299788330335
210,"Helicobacter pylori",36551,0.050146525373036,36551,0.0501720628183712
1640,"Listeria seeligeri",35357,0.0485084046295432,35362.2,0.0485401947949787
287,"Pseudomonas aeruginosa",33836,0.0464216528281592,33835.5,0.0464446116017818
1309,"Streptococcus mutans",33146,0.045475000137196,33141.2,0.0454915051913977
1660,"Schaalia odontolytica",28650,0.0393066660812969,28650,0.0393266831248193
562,"Escherichia coli",26362,0.0361676206364799,26361.9,0.0361858826565269
1351,"Enterococcus faecalis",25380,0.0348203555023845,25272.8,0.0346909018636718
1063,"Cereibacter sphaeroides",19015,0.0260878274183546,19015,0.0261011122891894
837,"Porphyromonas gingivalis",14595,0.0200237623545036,14595,0.020033959379952
888745,"Streptococcus agalactiae",12735,0.0174719159701681,12738.1,0.0174850357202978
1596,"Lactobacillus gasseri",12379,0.016983498060048,12380,0.0169935880959612
1313,"Streptococcus pneumoniae",2508,0.00344087673758787,2508.4,0.00344316066342432
1354,"Enterococcus hirae",2485,0.0034093216478891,2547.3,0.00349652567743459
537011,"Segatella copri",2137,0.00293187942114246,2137,0.00293337249987303
1747,"Cutibacterium acnes",1001,0.00137333238210744,1001,0.00137403176058629
29378,"Staphylococcus arlettae",968,0.00132805768819181,965.2,0.00132493099839929
1282,"Staphylococcus epidermidis",763,0.00104680580174623,1030.4,0.00141436231696314
46126,"Staphylococcus chromogenes",400,0.000548784168674302,355.4,0.000487783894491259
1139996,"Enterococcus saccharolyticus",336,0.000460978701686414,349.1,0.000479150102599616
574376,"Bacillus manliponensis",247,0.000338874224156382,239.4,0.000328589278316646
985762,"Staphylococcus agnetis",200,0.000274392084337151,227.4,0.000312077052438921
53412,"Metapseudomonas resinovorans",193,0.000264788361385351,193.5,0.000265561094891778
33025,"Phascolarctobacterium faecium",159,0.000218141707048035,159,0.000218252797136084
417368,"Enterococcus thailandicus",120,0.000164635250602291,114.3,0.000156879817675172
1281,"Staphylococcus carnosus",114,0.000156403488072176,133.6,0.000183450066063423
580165,"Bacillus cytotoxicus",107,0.000146799765120376,106.5,0.000146119588772192
622,"Shigella dysenteriae",86,0.000117988596264975,85.9,0.000117969712652551
1352,"Enterococcus faecium",79,0.000108384873313175,84.1,0.000115385302096339
1640685,"Enterococcus massiliensis",69,9.46652690963171e-05,72.1,9.89720997948655e-05
586733,"Staphylococcus devriesei",57,7.8201744036088e-05,62.1,8.5283867977275e-05
853,"Faecalibacterium prausnitzii",56,7.68297836144023e-05,56,7.68689096831492e-05
29385,"Staphylococcus saprophyticus",52,7.13419419276593e-05,51.1,7.01812387334981e-05
357276,"Phocaeicola dorei",51,6.99699815059735e-05,51,7.00424431610133e-05
