"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",59943,0.137789863734162,59559.4,0.136968944746524,"1","1280","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",43148,0.0991835083396164,43148,0.0992275245584005,"2","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",42484,0.0976571838393498,42552.1,0.0978570342670631,"3","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",27225,0.0625816031924088,27278.9,0.06273330634652,"4","1642","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",27202,0.0625287335184538,27202,0.0625564681367853,"5","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",23852,0.0548281505728314,23852,0.0548524856326134,"6","1299","1","1","1","1","0","0","Deinococcus","radiodurans"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",23229,0.0533960720130933,23083.6,0.0530853656403781,"7","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",22073,0.0507387962264845,22073,0.0507613158958415,"8","487","1","1","1","1","0","0","Neisseria","meningitidis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",20942,0.0481389874767833,20858.9,0.0479692836635869,"9","1351","1","12","0","1","1","0","Enterococcus","canis"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",19167,0.0440588278563416,19167,0.0440783648918933,"10","287","1","1","1","1","0","0","Pseudomonas","aeruginosa"
NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",17934,0.0412245535960573,17934,0.041242849702966,"11","1660","1","1","1","1","0","0","Schaalia","odontolytica"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",16888,0.0388201327718421,16888,0.0388373624794498,"12","470","1","11","0.5","1","0.5","0","Acinetobacter","baumannii"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",16445,0.0378018168778389,16602.3,0.0381803746829604,"13","888745","1","1","1","1","0","0","Streptococcus","agalactiae"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",14073,0.032349344416043,14093.4,0.0324106231036465,"14","1596","1","4","1","1","1","0","Lactobacillus","gasseri"
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",13493,0.0310161091597859,13493,0.0310298752903334,"15","1063","1","2","1","1","1","0","Cereibacter","johrii"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",13165,0.0302621416355578,13165,0.0302755011899677,"16","562","1","7","1","1","1","1","Escherichia","boydii"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",10798,0.0248211625811435,10798,0.0248321792663492,"17","210","1","1","1","1","0","0","Helicobacter","pylori"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",9039,0.0207777818643226,9039,0.0207870038088941,"18","837","1","1","1","1","0","0","Porphyromonas","gingivalis"
NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",4138,0.00951194394895088,4138,0.0095161657533018,"19","1747","1","1","1","1","0","0","Cutibacterium","acnes"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",2442,0.00561338016513728,2443.5,0.00561932939598752,"20","1313","1","2","1","1","1","0","Streptococcus","pneumoniae"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",2150,0.00494216517405616,2150,0.00494435871667445,"21","537011","1","1","1","1","0","0","Segatella","copri"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",852,0.00195847661781202,1148.8,0.00264179386149747,"22","1282","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",784,0.00180216627742327,780.4,0.00179467891751512,"23","1354","1","19","0.666666666666667","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus",697,0.00160218098898472,666,0.00153170625341927,"24","29385","1","9","0.25","1","1","0","Staphylococcus","arlettae"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus manliponensis",268,0.000616046635649791,255.5,0.00058751620290776,"25","574376","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium",144,0.000331010132587948,144,0.000331157048930754,"26","33025","1","1","1","1","0","0","Phascolarctobacterium","faecium"
NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arvi",132,0.000303425954872285,144.1,0.000331408575673379,"27","263475","1","10","0","0","1","1","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",124,0.000285036503061844,128.6,0.000295732321716156,"28","1139996","1","19","0.142857142857143","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus arlettae",115,0.000264348369775097,146.9,0.00033778738036001,"29","29378","1","12","1","1","1","1","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",85,0.000195387925485941,71.7,0.000164861946214512,"30","46126","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",79,0.00018159583662811,54.6,0.000125606451810134,"31","1640","1","6","1","1","1","0","Listeria","innocua"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hyicus",63,0.000144816933007227,66.5,0.000152975983645669,"32","1284","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae",60,0.000137920888578311,60,0.000137982103721147,"33","47678","1","1","1","1","0","0","Bacteroides","caccae"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis",52,0.00011953143676787,52,0.000119584489891661,"34","28117","1","1","1","1","0","0","Alistipes","putredinis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus",50,0.00011493407381526,57,0.00013101839761146,"35","1281","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii",47,0.000108038029386344,47,0.000108085981248232,"36","853","1","1","1","1","0","0","Faecalibacterium","prausnitzii"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cytotoxicus",46,0.000105739347910039,46,0.00010578342318618,"38","580165","1","11","0","1","1","1","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus thailandicus",46,0.000105739347910039,41.3,9.50881876643932e-05,"37","417368","1","18","0.5","1","1","0.5","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","Melissococcus plutonius",45,0.000103440666433734,43.1,9.92317103528719e-05,"39","940190","1","10","0.5","0.5","1","1","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes",43,9.88433034811232e-05,42.6,9.80033822622217e-05,"40","1639","1","5","0","1","1","0","Listeria","innocua"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus",39,8.96485775759025e-05,39,8.96883674187458e-05,"41","40519","1","1","1","1","0","0","Ruminococcus","callidus"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria grayi",37,8.50512146232921e-05,41.8,9.60264491752229e-05,"42","1641","1","13","0.333333333333333","0.333333333333333","1","0.666666666666667","Enterococcus","crotali"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola massiliensis",37,8.50512146232921e-05,37,8.50889639613742e-05,"43","204516","1","1","1","1","0","0","Phocaeicola","massiliensis"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecimuris",36,8.27525331469869e-05,35.5,8.1661144186042e-05,"44","1796613","1","7","0","1","1","0","Bacteroides","faecichinchillae"
