"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",2796,0.125482452203572,2721,0.122117070232895
1520,"Clostridium beijerinckii",2120,0.0951440624719505,2120,0.0951438400174697
1396,"Bacillus cereus",2068,0.0928103401849026,2074.8,0.0931146366745961
1299,"Deinococcus radiodurans",1378,0.0618436406067678,1378,0.0618436406067678
1642,"Listeria innocua",1290,0.0578942644286868,1298.4,0.0582697236183994
821,"Phocaeicola vulgatus",1217,0.0546180773718697,1217,0.0546180106955305
1309,"Streptococcus mutans",1171,0.0525536307333273,1162.4,0.0521657906515141
287,"Pseudomonas aeruginosa",1124,0.0504443048200341,1124,0.0504442813952904
487,"Neisseria meningitidis",1120,0.0502647877210304,1120,0.0502647877210304
1351,"Enterococcus faecalis",1070,0.0480208239834844,1062.6,0.0476867435654176
1660,"Schaalia odontolytica",1042,0.0467642042904587,1042,0.0467641418135831
470,"Acinetobacter baumannii",982,0.0440714478054035,982,0.0440714478054035
888745,"Streptococcus agalactiae",924,0.0414684498698501,934.9,0.0419571047525739
562,"Escherichia coli",761,0.0341531280854501,761,0.0341520821701748
210,"Helicobacter pylori",741,0.0332555425904317,741,0.0332555425904317
445629,"Cereibacter johrii",660,0.0296203213356072,660,0.0296201796973374
1596,"Lactobacillus gasseri",625,0.028049546719325,625.6,0.0280768185440934
837,"Porphyromonas gingivalis",447,0.0200610358136613,447,0.0200610358136613
1747,"Cutibacterium acnes",251,0.0112646979624809,251,0.0112646979624809
1282,"Staphylococcus epidermidis",141,0.00632797773987972,204.6,0.00918068979509417
1313,"Streptococcus pneumoniae",140,0.0062830984651288,140.3,0.00629468027692318
537011,"Segatella copri",57,0.00255811866080244,57,0.00255811866080244
94138,"Staphylococcus ureilyticus",31,0.00139125751727852,31.1,0.00139499955875629
1354,"Enterococcus hirae",26,0.00116686114352392,26,0.00116472888634555
574376,"Bacillus manliponensis",21,0.000942464769769321,20.2,0.000905662090411466
263475,"Viridibacillus arvi",8,0.00035903419800736,8.8,0.000396005444469582
564,"Escherichia fergusonii",6,0.00026927564850552,5.8,0.000262073075179236
33025,"Phascolarctobacterium faecium",4,0.00017951709900368,4,0.00017951709900368
1641,"Listeria grayi",4,0.00017951709900368,3.7,0.000166206303062428
29379,"Staphylococcus auricularis",4,0.00017951709900368,3.5,0.000156515047721563
1492,"Clostridium butyricum",4,0.00017951709900368,4,0.00017973955348526
1334,"Streptococcus dysgalactiae",3,0.00013463782425276,3,0.000134844169826579
853,"Faecalibacterium prausnitzii",3,0.00013463782425276,3,0.00013463782425276
1284,"Staphylococcus hyicus",3,0.00013463782425276,3.5,0.00015536905595253
940190,"Melissococcus plutonius",3,0.00013463782425276,3.1,0.000136968158306404
1494962,"Listeria floridensis",3,0.00013463782425276,3,0.000134638143897369
160453,"Enterococcus gilvus",2,8.975854950184e-05,2.2,9.75387375103655e-05
1643,"Listeria welshimeri",2,8.975854950184e-05,2.3,0.000103862482024054
657309,"Bacteroides xylanisolvens",2,8.975854950184e-05,1.8,8.07689406407929e-05
29385,"Staphylococcus saprophyticus",2,8.975854950184e-05,2.2,9.96688693777287e-05
47678,"Bacteroides caccae",1,4.487927475092e-05,1,4.487927475092e-05
1305,"Streptococcus sanguinis",1,4.487927475092e-05,1,4.48811667140336e-05
1296,"Mammaliicoccus sciuri",1,4.487927475092e-05,1,4.49675456975264e-05
181487,"Schaalia cardiffensis",1,4.487927475092e-05,1,4.49417516258183e-05
449673,"Bacteroides stercoris",1,4.487927475092e-05,1,4.487927475092e-05
40519,"Ruminococcus callidus",1,4.487927475092e-05,1,4.487927475092e-05
57732,"Enterococcus asini",1,4.487927475092e-05,1,4.51284895710255e-05
46126,"Staphylococcus chromogenes",1,4.487927475092e-05,1.1,4.7862891650172e-05
204516,"Phocaeicola massiliensis",1,4.487927475092e-05,1,4.487927475092e-05
1139996,"Enterococcus saccharolyticus",1,4.487927475092e-05,1,4.63307423475248e-05
46503,"Parabacteroides merdae",1,4.487927475092e-05,1,4.48790859620457e-05
239935,"Akkermansia muciniphila",1,4.487927475092e-05,1,4.487927475092e-05
1063,"Cereibacter sphaeroides",1,4.487927475092e-05,1,4.50209130210871e-05
487174,"Barnesiella intestinihominis",1,4.487927475092e-05,1,4.487927475092e-05
28117,"Alistipes putredinis",1,4.487927475092e-05,1,4.487927475092e-05
1639,"Listeria monocytogenes",1,4.487927475092e-05,1,4.570207825024e-05
1298596,"Mediterraneibacter faecis",1,4.487927475092e-05,1,4.487927475092e-05
137658,"Pseudomonas indica",1,4.487927475092e-05,1,4.4902699494935e-05
357276,"Phocaeicola dorei",1,4.487927475092e-05,1,4.49459510904741e-05
155617,"Enterococcus moraviensis",1,4.487927475092e-05,1,4.6048210976976e-05
624,"Shigella sonnei",1,4.487927475092e-05,1.2,5.31277443839636e-05
580165,"Bacillus cytotoxicus",1,4.487927475092e-05,1,4.48807715012442e-05
1111760,"Streptococcus troglodytae",1,4.487927475092e-05,1,4.49093265354554e-05
1494960,"Listeria aquatica",1,4.487927475092e-05,1,4.487927475092e-05
425474,"Staphylococcus pseudolugdunensis",1,4.487927475092e-05,1,4.48793633419845e-05
2358141,"Anaerotignum faecicola",1,4.487927475092e-05,1,4.487927475092e-05
