"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1520,"Clostridium beijerinckii",4309,0.129279049533467,4309,0.129282813352115
1280,"Staphylococcus aureus",3581,0.107437520626444,3564.1,0.106933387709788
1396,"Bacillus cereus",2456,0.0736851579610573,2460.5,0.0738225699170412
821,"Phocaeicola vulgatus",2200,0.0660046203234226,2200,0.0660065755289961
1299,"Deinococcus radiodurans",2088,0.0626443851069575,2088,0.0626462646264627
470,"Acinetobacter baumannii",2041,0.061234286400048,2041,0.0612361236123612
487,"Neisseria meningitidis",1908,0.0572440070804956,1908,0.0572457245724572
1309,"Streptococcus mutans",1652,0.049563469442861,1643,0.0492945190754347
1660,"Schaalia odontolytica",1530,0.0459032132249257,1530,0.0459045541084946
287,"Pseudomonas aeruginosa",1530,0.0459032132249257,1530,0.0459045904590459
1642,"Listeria innocua",1457,0.043713059914194,1464.2,0.0439300529373656
210,"Helicobacter pylori",1399,0.0419729381056674,1399,0.041974197419742
562,"Escherichia coli",1293,0.0387927154900843,1293,0.0387937096822174
1351,"Enterococcus faecalis",1224,0.0367225705799406,1222.5,0.0366790208411521
888745,"Streptococcus agalactiae",1220,0.0366025621793526,1222.4,0.036675832921633
1596,"Lactobacillus gasseri",1033,0.0309921694518616,1035.5,0.0310695760758523
1063,"Cereibacter sphaeroides",912,0.0273619153340734,912,0.0273627362736274
837,"Porphyromonas gingivalis",659,0.0197713839968798,659,0.0197719771977198
1747,"Cutibacterium acnes",340,0.0102007140499835,340,0.0102010201020102
1313,"Streptococcus pneumoniae",155,0.00465032552278659,155.3,0.0046591718334724
537011,"Segatella copri",81,0.00243017011190783,81,0.00243024302430243
29384,"Staphylococcus kloosii",60,0.00180012600882062,60.2,0.00180688442350476
574376,"Bacillus manliponensis",37,0.00111007770543938,35.3,0.00105846254682991
1354,"Enterococcus hirae",26,0.000780054603822268,25,0.000751230308044922
1282,"Staphylococcus epidermidis",22,0.000660046203234226,32,0.000959215833118995
263475,"Viridibacillus arvi",12,0.000360025201764124,13.7,0.000411919953994774
1641,"Listeria grayi",10,0.000300021001470103,9,0.000270999389929704
33025,"Phascolarctobacterium faecium",8,0.000240016801176082,8,0.00024002400240024
940190,"Melissococcus plutonius",8,0.000240016801176082,7.7,0.000229970179526622
1155073,"Enterococcus diestrammenae",6,0.000180012600882062,6.1,0.000181707150091265
1492,"Clostridium butyricum",5,0.000150010500735051,5,0.00015012994222542
1139996,"Enterococcus saccharolyticus",5,0.000150010500735051,5.5,0.000164348467354523
1643,"Listeria welshimeri",4,0.000120008400588041,5,0.0001510467119975
413497,"Cronobacter dublinensis",4,0.000120008400588041,4,0.000120161111448702
2005703,"Enterococcus wangshanyuanii",4,0.000120008400588041,4,0.000120351687522904
47678,"Bacteroides caccae",3,9.00063004410309e-05,3,9.000900090009e-05
1296,"Mammaliicoccus sciuri",3,9.00063004410309e-05,3.1,9.16394050883121e-05
1334,"Streptococcus dysgalactiae",3,9.00063004410309e-05,3,9.00903195999081e-05
46126,"Staphylococcus chromogenes",3,9.00063004410309e-05,3,9.00238817682495e-05
1336242,"Stenotrophomonas geniculata",2,6.00042002940206e-05,2,6.00059192673541e-05
1281,"Staphylococcus carnosus",2,6.00042002940206e-05,2,6.00207964384155e-05
1302,"Streptococcus gordonii",2,6.00042002940206e-05,2,6.01026113847838e-05
853,"Faecalibacterium prausnitzii",2,6.00042002940206e-05,2,6.000600060006e-05
204516,"Phocaeicola massiliensis",2,6.00042002940206e-05,2,6.000600060006e-05
1587,"Lactobacillus helveticus",2,6.00042002940206e-05,2,6.00076555168821e-05
119224,"Streptococcus phocae",2,6.00042002940206e-05,2,6.00081119732317e-05
1796613,"Bacteroides caecimuris",2,6.00042002940206e-05,2,6.000600060006e-05
553,"Pantoea ananatis",1,3.00021001470103e-05,1,3.00030473559032e-05
449673,"Bacteroides stercoris",1,3.00021001470103e-05,1,3.000300030003e-05
214473,"Staphylococcus nepalensis",1,3.00021001470103e-05,1,3.00053055127355e-05
40519,"Ruminococcus callidus",1,3.00021001470103e-05,1,3.000300030003e-05
52773,"Schaalia meyeri",1,3.00021001470103e-05,1,3.00393508518658e-05
214856,"Alistipes finegoldii",1,3.00021001470103e-05,1,3.00028740895981e-05
1352,"Enterococcus faecium",1,3.00021001470103e-05,1.1,3.24412827054124e-05
46503,"Parabacteroides merdae",1,3.00021001470103e-05,1,3.00028740895981e-05
37734,"Enterococcus casseliflavus",1,3.00021001470103e-05,1.4,4.20483101420266e-05
157733,"Alkalihalobacillus macyae",1,3.00021001470103e-05,1,3.09234238087605e-05
399363,"Lacicoccus kunmingensis",1,3.00021001470103e-05,1,3.02682042749879e-05
28117,"Alistipes putredinis",1,3.00021001470103e-05,1,3.000300030003e-05
823,"Parabacteroides distasonis",1,3.00021001470103e-05,1,3.000300030003e-05
357276,"Phocaeicola dorei",1,3.00021001470103e-05,1,3.00281313692268e-05
263476,"Viridibacillus arenosi",1,3.00021001470103e-05,0.9,2.74190464829685e-05
580165,"Bacillus cytotoxicus",1,3.00021001470103e-05,1.1,3.16066318573173e-05
1494962,"Listeria floridensis",1,3.00021001470103e-05,1,3.00887800118363e-05
1160095,"Vagococcus entomophilus",1,3.00021001470103e-05,1,3.00035530630999e-05
2670334,"Lottiidibacillus patelloidae",1,3.00021001470103e-05,1,3.00030729355164e-05
