"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",59943,0.137789863734162,59704,0.13730130295971
1520,"Clostridium beijerinckii",43148,0.0991835083396164,43148,0.0992275234684349
1396,"Bacillus cereus",42484,0.0976571838393498,42549.2,0.097850426680776
1642,"Listeria innocua",27328,0.0628183673844683,27288.7,0.0627558168629312
821,"Phocaeicola vulgatus",27202,0.0625287335184538,27202,0.0625564630904133
1299,"Deinococcus radiodurans",23852,0.0548281505728314,23852,0.0548524856326135
1309,"Streptococcus mutans",23229,0.0533960720130933,23087,0.0530932059114294
487,"Neisseria meningitidis",22073,0.0507387962264845,22073,0.0507613157804366
1351,"Enterococcus faecalis",20839,0.0479022232847239,20848.4,0.047945159695862
287,"Pseudomonas aeruginosa",19167,0.0440588278563416,19167,0.0440783585224421
1660,"Schaalia odontolytica",17934,0.0412245535960573,17934,0.0412428493005274
470,"Acinetobacter baumannii",16888,0.0388201327718421,16888,0.0388373623598624
888745,"Streptococcus agalactiae",16445,0.0378018168778389,16597.3,0.0381688510149278
1596,"Lactobacillus gasseri",14073,0.032349344416043,14092.6,0.0324087221015916
1063,"Cereibacter sphaeroides",13493,0.0310161091597859,13493,0.0310298752317999
562,"Escherichia coli",13165,0.0302621416355578,13165,0.030275468861343
210,"Helicobacter pylori",10798,0.0248211625811435,10798,0.0248321792663492
837,"Porphyromonas gingivalis",9039,0.0207777818643226,9039,0.0207870037465905
1747,"Cutibacterium acnes",4138,0.00951194394895088,4138,0.00951616575330181
1313,"Streptococcus pneumoniae",2442,0.00561338016513728,2443.1,0.00561840799770308
537011,"Segatella copri",2150,0.00494216517405616,2150,0.00494435871667445
1282,"Staphylococcus epidermidis",852,0.00195847661781202,1005.3,0.00231186166037062
1354,"Enterococcus hirae",785,0.00180446495889958,785.1,0.0018055132736322
29385,"Staphylococcus saprophyticus",697,0.00160218098898472,667.2,0.00153446342956541
574376,"Bacillus manliponensis",268,0.000616046635649791,255.5,0.000587571143202883
33025,"Phascolarctobacterium faecium",144,0.000331010132587948,144,0.000331157048930754
263475,"Viridibacillus arvi",132,0.000303425954872285,144.1,0.000331405132396858
1139996,"Enterococcus saccharolyticus",124,0.000285036503061844,128.4,0.00029525880818415
29378,"Staphylococcus arlettae",115,0.000264348369775097,146.7,0.00033742950370589
46126,"Staphylococcus chromogenes",85,0.000195387925485941,71.7,0.000164897918163447
1640,"Listeria seeligeri",79,0.00018159583662811,54.9,0.00012617574158018
1284,"Staphylococcus hyicus",63,0.000144816933007227,66.5,0.000153000915406782
47678,"Bacteroides caccae",60,0.000137920888578311,60,0.000137982103721148
28117,"Alistipes putredinis",52,0.00011953143676787,52,0.000119584489891661
1281,"Staphylococcus carnosus",50,0.00011493407381526,57,0.000131077304116339
853,"Faecalibacterium prausnitzii",47,0.000108038029386344,47,0.000108085981248232
417368,"Enterococcus thailandicus",46,0.000105739347910039,41.3,9.50835454126441e-05
580165,"Bacillus cytotoxicus",46,0.000105739347910039,46,0.00010578202079622
940190,"Melissococcus plutonius",45,0.000103440666433734,43.2,9.92384159831438e-05
1639,"Listeria monocytogenes",42,9.6544622004818e-05,42.1,9.68642439080996e-05
40519,"Ruminococcus callidus",39,8.96485775759025e-05,39,8.96883674187459e-05
1641,"Listeria grayi",37,8.50512146232921e-05,41.8,9.60586574113182e-05
204516,"Phocaeicola massiliensis",37,8.50512146232921e-05,37,8.50889639613743e-05
1796613,"Bacteroides caecimuris",36,8.27525331469869e-05,35.5,8.16611441860422e-05
449673,"Bacteroides stercoris",35,8.04538516706817e-05,35,8.04895605040027e-05
487174,"Barnesiella intestinihominis",35,8.04538516706817e-05,35,8.04895605040027e-05
1334,"Streptococcus dysgalactiae",33,7.58564887180713e-05,32.8,7.54151628077994e-05
46503,"Parabacteroides merdae",29,6.66617628128506e-05,29,6.6691350131888e-05
89014,"Blautia luti",29,6.66617628128506e-05,29,6.6691350131888e-05
1296,"Mammaliicoccus sciuri",27,6.20643998602402e-05,25.9,5.96678116609494e-05
622,"Shigella dysenteriae",24,5.51683554313246e-05,21.4,4.91082864082899e-05
1643,"Listeria welshimeri",23,5.28696739550194e-05,40.9,9.39479798336878e-05
28118,"Odoribacter splanchnicus",23,5.28696739550194e-05,23,5.28931397597732e-05
1352,"Enterococcus faecium",22,5.05709924787142e-05,24.9,5.72430543429791e-05
564,"Escherichia fergusonii",22,5.05709924787142e-05,20.9,4.81419769217777e-05
1640685,"Enterococcus massiliensis",21,4.8272311002409e-05,22.6,5.18760255377904e-05
2005703,"Enterococcus wangshanyuanii",21,4.8272311002409e-05,24.8,5.69937471430427e-05
357276,"Phocaeicola dorei",20,4.59736295261038e-05,20,4.60173678921236e-05
83683,"Lactobacillus amylolyticus",19,4.36749480497986e-05,15.8,3.62614329996319e-05
53412,"Metapseudomonas resinovorans",18,4.13762665734934e-05,18,4.14181465445014e-05
515619,"Agathobacter rectalis",17,3.90775850971883e-05,17,3.90949293876585e-05
823,"Parabacteroides distasonis",16,3.67789036208831e-05,16,3.67952276589727e-05
57732,"Enterococcus asini",15,3.44802221445779e-05,16.9,3.87745858238679e-05
820,"Bacteroides uniformis",15,3.44802221445779e-05,15,3.44955259302869e-05
328814,"Alistipes shahii",15,3.44802221445779e-05,14.9,3.41966835304118e-05
29379,"Staphylococcus auricularis",14,3.21815406682727e-05,17.3,3.9859342819721e-05
1298596,"Mediterraneibacter faecis",13,2.98828591919675e-05,13,2.98961224729153e-05
2670334,"Lottiidibacillus patelloidae",13,2.98828591919675e-05,12.5,2.86318430498413e-05
1492,"Clostridium butyricum",12,2.75841777156623e-05,12,2.76018193531037e-05
863449,"Cytobacillus purgationiresistens",12,2.75841777156623e-05,12,2.76131087460339e-05
454154,"Paraprevotella clara",12,2.75841777156623e-05,12,2.75964207442295e-05
1494962,"Listeria floridensis",12,2.75841777156623e-05,13.8,3.1676185352988e-05
