"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",47559,0.133400839242438,47141.5,0.132265461866451
1396,"Bacillus cereus",35504,0.0995871106722915,35505,0.0996168100893746
1520,"Clostridium beijerinckii",34410,0.0965184902611974,34410.4,0.0965455664023903
470,"Acinetobacter baumannii",24461,0.0686119962301409,24461,0.0686304767368507
487,"Neisseria meningitidis",23006,0.0645307871824791,23006,0.0645481672249618
1299,"Deinococcus radiodurans",20366,0.0571257068485773,20366,0.0571410935536004
1640,"Listeria seeligeri",18628,0.0522506956287586,18631.5,0.0522747121165742
1309,"Streptococcus mutans",18387,0.0515747015528229,18375.1,0.0515552833606193
287,"Pseudomonas aeruginosa",17952,0.0503545462705323,17951.9,0.0503679215627848
821,"Phocaeicola vulgatus",17913,0.0502451530383269,17913,0.0502586598727936
210,"Helicobacter pylori",15764,0.044217305448344,15764,0.0442292152989765
1351,"Enterococcus faecalis",14008,0.0392918050444305,13981.1,0.039226950910317
1660,"Schaalia odontolytica",13617,0.0381950677677049,13617,0.038205354224683
562,"Escherichia coli",12391,0.0347561933399156,12390.9,0.0347652695410698
888745,"Streptococcus agalactiae",9929,0.0278503949376178,9938.1,0.0278832901471708
1596,"Lactobacillus gasseri",9493,0.0266274347006552,9493.1,0.0266348066590883
1063,"Cereibacter sphaeroides",8562,0.0240160219010861,8562,0.024022490177279
837,"Porphyromonas gingivalis",8105,0.0227341576160129,8105,0.0227402810114909
1313,"Streptococcus pneumoniae",1707,0.00478805762498878,1707.5,0.00479086635961725
1354,"Enterococcus hirae",1258,0.00352863297729109,1279.8,0.00359062273082908
1747,"Cutibacterium acnes",792,0.00222152410017054,792,0.00222212234892337
1282,"Staphylococcus epidermidis",652,0.00182883044609999,1065.9,0.00299061636977638
537011,"Segatella copri",304,0.000852706220267481,304,0.000852935895133778
29378,"Staphylococcus arlettae",117,0.000328179696616103,112.9,0.000316815133523176
46126,"Staphylococcus chromogenes",104,0.00029171528588098,94.9,0.000266128685297312
1643,"Listeria welshimeri",95,0.000266470693833588,86.2,0.00024193564540677
564,"Escherichia fergusonii",84,0.00023561619244233,65.6,0.000184035394292429
