"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1520,"Clostridium beijerinckii",41082,0.113479604774309,41082,0.113521308227422
1280,"Staphylococcus aureus",40551,0.1120128390342,40351.3,0.111502087369161
470,"Acinetobacter baumannii",31239,0.0862905743037006,31239,0.0863222874600285
1396,"Bacillus cereus",27491,0.0759375837313305,27504.6,0.0760029463896993
1299,"Deinococcus radiodurans",23111,0.063838838078454,23111,0.0638622999381024
487,"Neisseria meningitidis",22242,0.0614384248427577,22242,0.0614610044191024
821,"Phocaeicola vulgatus",22199,0.0613196472027866,22199,0.0613421714999646
1309,"Streptococcus mutans",17303,0.0477955698702561,17273.9,0.0477326134029297
287,"Pseudomonas aeruginosa",17125,0.0473038856861895,17125,0.0473212463261333
210,"Helicobacter pylori",16638,0.0459586598567486,16638,0.045975550446547
1660,"Schaalia odontolytica",16024,0.0442626256487883,16024,0.0442788924174163
1642,"Listeria innocua",15895,0.0439062927288748,15905.8,0.0439524098214219
562,"Escherichia coli",14428,0.0398540416163703,14428,0.0398686712553142
1351,"Enterococcus faecalis",13078,0.0361249761754152,13061.6,0.036093002014254
888745,"Streptococcus agalactiae",11415,0.031531320006298,11446.6,0.0316301575817043
1596,"Lactobacillus gasseri",9600,0.0265177986912361,9601.5,0.0265317494609468
1063,"Cereibacter sphaeroides",9158,0.0252968750431605,9158,0.0253061720748689
837,"Porphyromonas gingivalis",7105,0.0196259333022118,7105,0.0196331456275296
1313,"Streptococcus pneumoniae",1833,0.0050632421876079,1833.4,0.00506626021691631
537011,"Segatella copri",894,0.00246947000312137,894,0.00247037757538244
1747,"Cutibacterium acnes",691,0.0019087290516296,691,0.00190943054204616
29384,"Staphylococcus kloosii",543,0.00149991298847304,542.9,0.00150005392145613
1354,"Enterococcus hirae",503,0.00138942216059289,496.7,0.00137239188735201
1282,"Staphylococcus epidermidis",220,0.000607699553340828,402,0.00111078224432727
574376,"Bacillus manliponensis",194,0.00053588051521873,193.3,0.000534123573540123
46126,"Staphylococcus chromogenes",138,0.00038119335618652,128.9,0.000356299481417998
1284,"Staphylococcus hyicus",77,0.00021269484366929,86,0.000237698329309976
1139996,"Enterococcus saccharolyticus",74,0.000204408031578279,73.6,0.000203264656763974
33025,"Phascolarctobacterium faecium",67,0.000185072136699252,67,0.000185140153859758
155617,"Enterococcus moraviensis",57,0.000157449429729215,58.7,0.000162266516900258
853,"Faecalibacterium prausnitzii",32,8.83926623041205e-05,32,8.84251481121231e-05
1643,"Listeria welshimeri",30,8.28681209101129e-05,26.2,7.24831281583782e-05
28117,"Alistipes putredinis",30,8.28681209101129e-05,30,8.28985763551154e-05
940190,"Melissococcus plutonius",29,8.01058502131092e-05,27,7.46740724123816e-05
263475,"Viridibacillus arvi",26,7.18190381220979e-05,26.1,7.20548782668405e-05
580165,"Bacillus cytotoxicus",23,6.35322260310866e-05,22.5,6.2079979421188e-05
44009,"Enterococcus dispar",21,5.80076846370791e-05,22.3,6.16285745325069e-05
204516,"Phocaeicola massiliensis",21,5.80076846370791e-05,21,5.80290034485808e-05
53412,"Metapseudomonas resinovorans",20,5.52454139400753e-05,20,5.52863910241685e-05
586733,"Staphylococcus devriesei",19,5.24831432430715e-05,17.5,4.83402084371748e-05
1796613,"Bacteroides caecimuris",17,4.6958601849064e-05,16,4.42824262047663e-05
357276,"Phocaeicola dorei",16,4.41963311520602e-05,16,4.42242909993159e-05
47678,"Bacteroides caccae",15,4.14340604550565e-05,15.5,4.27250611073665e-05
487174,"Barnesiella intestinihominis",15,4.14340604550565e-05,15,4.14492881775577e-05
2670334,"Lottiidibacillus patelloidae",15,4.14340604550565e-05,12.8,3.54639211755376e-05
622,"Shigella dysenteriae",14,3.86717897580527e-05,13.6,3.75827494357608e-05
1077675,"Enterococcus plantarum",14,3.86717897580527e-05,10.1,2.79754052477182e-05
29378,"Staphylococcus arlettae",13,3.59095190610489e-05,13.9,3.83078518184205e-05
33932,"Sutcliffiella cohnii",12,3.31472483640452e-05,11.8,3.27100381933344e-05
1641,"Listeria grayi",12,3.31472483640452e-05,13.5,3.72409438531357e-05
1640685,"Enterococcus massiliensis",12,3.31472483640452e-05,13.4,3.69287672309022e-05
449673,"Bacteroides stercoris",11,3.03849776670414e-05,11,3.03961446635423e-05
1281,"Staphylococcus carnosus",11,3.03849776670414e-05,10.1,2.80259588659004e-05
46503,"Parabacteroides merdae",11,3.03849776670414e-05,11,3.03961446635423e-05
234908,"Sutterella stercoricanis",9,2.48604362730339e-05,4.5,1.24347864532673e-05
137658,"Pseudomonas indica",9,2.48604362730339e-05,9,2.48732417756447e-05
823,"Parabacteroides distasonis",9,2.48604362730339e-05,9,2.48695729065346e-05
1816689,"Sutterella massiliensis",9,2.48604362730339e-05,4.5,1.24347864532673e-05
1499973,"Escherichia marmotae",9,2.48604362730339e-05,7.5,2.06019278446387e-05
1334,"Streptococcus dysgalactiae",8,2.20981655760301e-05,8,2.21089823520818e-05
40519,"Ruminococcus callidus",8,2.20981655760301e-05,8,2.21062870280308e-05
1639,"Listeria monocytogenes",8,2.20981655760301e-05,8.1,2.22560789948906e-05
154621,"Enterococcus phoeniculicola",8,2.20981655760301e-05,10,2.75665583795338e-05
29379,"Staphylococcus auricularis",7,1.93358948790264e-05,9.2,2.53630870779658e-05
112904,"Enterococcus villorum",7,1.93358948790264e-05,6.6,1.83106177607012e-05
1640,"Listeria seeligeri",7,1.93358948790264e-05,7.1,1.96199704574636e-05
157733,"Alkalihalobacillus macyae",7,1.93358948790264e-05,7.1,1.96225933292946e-05
83,"Hyphomicrobium vulgare",7,1.93358948790264e-05,3.5,9.67150057476346e-06
454154,"Paraprevotella clara",7,1.93358948790264e-05,7,1.93430011495269e-05
53398,"Hyphomicrobium aestuarii",7,1.93358948790264e-05,3.5,9.67150057476346e-06
155618,"Enterococcus haemoperoxidus",7,1.93358948790264e-05,7.3,2.01417385707791e-05
252231,"Nocardioides aestuarii",6,1.65736241820226e-05,5.9,1.63389220286174e-05
86663,"Bacillus carboniphilus",6,1.65736241820226e-05,7.8,2.14430838830079e-05
1296,"Mammaliicoccus sciuri",6,1.65736241820226e-05,5.6,1.55673439548476e-05
57732,"Enterococcus asini",6,1.65736241820226e-05,6.8,1.89183326503345e-05
214856,"Alistipes finegoldii",6,1.65736241820226e-05,6,1.65797152710231e-05
1492,"Clostridium butyricum",6,1.65736241820226e-05,6,1.65808384061174e-05
209389,"Heyndrickxia acidicola",6,1.65736241820226e-05,6.2,1.72026928023758e-05
1131292,"Enterococcus ureilyticus",6,1.65736241820226e-05,9.9,2.73516721996613e-05
490573,"Solirubrobacter ginsenosidimutans",6,1.65736241820226e-05,3,8.28985763551154e-06
1298596,"Mediterraneibacter faecis",6,1.65736241820226e-05,6,1.65797152710231e-05
301302,"Roseburia faecis",6,1.65736241820226e-05,6,1.65797152710231e-05
363832,"Solirubrobacter soli",6,1.65736241820226e-05,3,8.28985763551154e-06
1819254,"Lactobacillus colini",6,1.65736241820226e-05,5.3,1.47138485296414e-05
2005703,"Enterococcus wangshanyuanii",6,1.65736241820226e-05,6.1,1.67953892290528e-05
1336242,"Stenotrophomonas geniculata",5,1.38113534850188e-05,5,1.38164293924703e-05
1302,"Streptococcus gordonii",5,1.38113534850188e-05,5,1.38181873309628e-05
44007,"Enterococcus pseudoavium",5,1.38113534850188e-05,4.5,1.24399734936818e-05
214473,"Staphylococcus nepalensis",5,1.38113534850188e-05,5.1,1.42228506153505e-05
39694,"Mycolicibacterium poriferae",5,1.38113534850188e-05,1.7,4.60547620013391e-06
370524,"Mycolicibacterium pallens",5,1.38113534850188e-05,1.7,4.60547620013391e-06
375,"Bradyrhizobium japonicum",5,1.38113534850188e-05,4.4,1.22018765014955e-05
1786,"Mycolicibacterium sphagni",5,1.38113534850188e-05,1.7,4.60547620013391e-06
745368,"Gemmiger formicilis",5,1.38113534850188e-05,5,1.38164293925184e-05
29367,"Clostridium puniceum",5,1.38113534850188e-05,5,1.38174756935486e-05
88431,"Dorea longicatena",5,1.38113534850188e-05,5,1.38164293925192e-05
564,"Escherichia fergusonii",5,1.38113534850188e-05,6.2,1.72627195719188e-05
89014,"Blautia luti",5,1.38113534850188e-05,5,1.38164293925192e-05
39488,"Anaerobutyricum hallii",5,1.38113534850188e-05,5,1.38164293925192e-05
425474,"Staphylococcus pseudolugdunensis",5,1.38113534850188e-05,5.1,1.41733528315357e-05
69969,"Macrococcus carouselicus",4,1.10490827880151e-05,3.7,1.02628961622293e-05
393763,"Anaerobacillus alkalilacustris",4,1.10490827880151e-05,4.2,1.17372641722273e-05
439699,"Pseudosporangium ferrugineum",4,1.10490827880151e-05,3.7,1.02769383272517e-05
1123023,"Pseudonocardia acaciae",4,1.10490827880151e-05,2,5.5263551100394e-06
904933,"Pseudonocardia hispaniensis",4,1.10490827880151e-05,2,5.5263551100394e-06
1353,"Enterococcus gallinarum",4,1.10490827880151e-05,3.3,9.16001218007821e-06
1453587,"Enterococcus crotali",4,1.10490827880151e-05,6,1.65441091523054e-05
398,"Rhizobium tropici",3,8.28681209101129e-06,0.3,9.2109527116971e-07
44008,"Enterococcus cecorum",3,8.28681209101129e-06,3.1,8.67061632346009e-06
181487,"Schaalia cardiffensis",3,8.28681209101129e-06,3,8.29026872177586e-06
74426,"Collinsella aerofaciens",3,8.28681209101129e-06,3,8.28985763551154e-06
1638,"Listeria ivanovii",3,8.28681209101129e-06,5.6,1.54800315450264e-05
615,"Serratia marcescens",3,8.28681209101129e-06,3,8.39003112462813e-06
53345,"Enterococcus durans",3,8.28681209101129e-06,3.7,1.03344058472827e-05
649756,"Anaerostipes hadrus",3,8.28681209101129e-06,3,8.28985763551154e-06
413501,"Cronobacter muytjensii",3,8.28681209101129e-06,3.5,9.72690404949612e-06
28116,"Bacteroides ovatus",3,8.28681209101129e-06,2.1,5.77479547122216e-06
820,"Bacteroides uniformis",3,8.28681209101129e-06,3,8.28985763549801e-06
